k_Mpc,P_R,P_t
1.000000000e-06,1.591186218e-06,8.691952594e-12
1.086031892e-06,1.396568057e-06,8.691945912e-12
1.179465270e-06,1.225757535e-06,8.691938383e-12
1.280936898e-06,1.075840916e-06,8.691929904e-12
1.391138323e-06,9.442611385e-07,8.691920361e-12
1.510820584e-06,8.287741547e-07,8.691909625e-12
1.640799337e-06,7.274106060e-07,8.691897554e-12
1.781960408e-06,6.384421958e-07,8.691883989e-12
1.935265833e-06,5.603521778e-07,8.691868754e-12
2.101760413e-06,4.918094577e-07,8.691851654e-12
2.282578837e-06,4.316458658e-07,8.691832475e-12
2.478953413e-06,3.788362118e-07,8.691810977e-12
2.692222464e-06,3.324807822e-07,8.691786897e-12
2.923839456e-06,2.917899795e-07,8.691759947e-12
3.175382895e-06,2.560708429e-07,8.691729808e-12
3.448567092e-06,2.247152189e-07,8.691696132e-12
3.745253843e-06,1.971893803e-07,8.691658535e-12
4.067465116e-06,1.730249159e-07,8.691616603e-12
4.417396834e-06,1.518107361e-07,8.691569880e-12
4.797433840e-06,1.331860565e-07,8.691517874e-12
5.210166149e-06,1.168342416e-07,8.691460052e-12
5.658406598e-06,1.024774011e-07,8.691395839e-12
6.145210022e-06,8.987164879e-08,8.691324616e-12
6.673894065e-06,7.880294179e-08,8.691245721e-12
7.248061796e-06,6.908342907e-08,8.691158451e-12
7.871626264e-06,6.054824766e-08,8.691062058e-12
8.548837162e-06,5.305271112e-08,8.690955756e-12
9.284309795e-06,4.646984281e-08,8.690838720e-12
1.008305653e-05,4.068821155e-08,8.690710095e-12
1.095052096e-05,3.561003288e-08,8.690569000e-12
1.189261499e-05,3.114950353e-08,8.690414535e-12
1.291575915e-05,2.723134080e-08,8.690245794e-12
1.402692635e-05,2.378950171e-08,8.690061878e-12
1.523368936e-05,2.076606036e-08,8.689861905e-12
1.654427247e-05,1.811022424e-08,8.689645039e-12
1.796760753e-05,1.577747266e-08,8.689410499e-12
1.951339479e-05,1.372880267e-08,8.689157593e-12
2.119216906e-05,1.193006931e-08,8.688885739e-12
2.301537145e-05,1.035140896e-08,8.688594497e-12
2.499542739e-05,8.966735340e-09,8.688283602e-12
2.714583130e-05,7.753299168e-09,8.687952993e-12
2.948123851e-05,6.691303023e-09,8.687602849e-12
3.201756523e-05,5.763563719e-09,8.687233619e-12
3.477209694e-05,4.955214738e-09,8.686846050e-12
3.776360621e-05,4.253441510e-09,8.686441212e-12
4.101248069e-05,3.647242280e-09,8.686020508e-12
4.454086199e-05,3.127207185e-09,8.685585679e-12
4.837279661e-05,2.685308029e-09,8.685138793e-12
5.253439980e-05,2.314691294e-09,8.684682212e-12
5.705403360e-05,2.009467425e-09,8.684218550e-12
6.196250004e-05,1.764490695e-09,8.683750598e-12
6.729325113e-05,1.575126504e-09,8.683281237e-12
7.308261682e-05,1.437007164e-09,8.682813324e-12
7.937005260e-05,1.345783340e-09,8.682349579e-12
8.619840837e-05,1.296886500e-09,8.681892448e-12
9.361422050e-05,1.285326921e-09,8.681443986e-12
1.016680290e-04,1.305560544e-09,8.681005754e-12
1.104147218e-04,1.351462936e-09,8.680578744e-12
1.199139092e-04,1.416445679e-09,8.680163356e-12
1.302303297e-04,1.493735054e-09,8.679759420e-12
1.414342913e-04,1.576802017e-09,8.679366279e-12
1.536021509e-04,1.659887934e-09,8.678982913e-12
1.668168345e-04,1.738521922e-09,8.678608094e-12
1.811684024e-04,1.809891721e-09,8.678240542e-12
1.967546628e-04,1.872935036e-09,8.677879060e-12
2.136818386e-04,1.928080669e-09,8.677522621e-12
2.320652914e-04,1.976684730e-09,8.677170404e-12
2.520303074e-04,2.020336700e-09,8.676821779e-12
2.737129515e-04,2.060283290e-09,8.676476259e-12
2.972609945e-04,2.097171816e-09,8.676133448e-12
3.228349202e-04,2.131149100e-09,8.675793005e-12
3.506090191e-04,2.162159859e-09,8.675454619e-12
3.807725762e-04,2.190207507e-09,8.675118005e-12
4.135311613e-04,2.215434132e-09,8.674782905e-12
4.491080293e-04,2.238054722e-09,8.674449088e-12
4.877456427e-04,2.258275151e-09,8.674116346e-12
5.297073230e-04,2.276269836e-09,8.673784488e-12
5.752790460e-04,2.292197623e-09,8.673453343e-12
6.247713906e-04,2.306212085e-09,8.673122751e-12
6.785216552e-04,2.318459563e-09,8.672792567e-12
7.368961568e-04,2.329076989e-09,8.672462657e-12
8.002927271e-04,2.338192252e-09,8.672132895e-12
8.691434243e-04,2.345924611e-09,8.671803165e-12
9.439174773e-04,2.352384919e-09,8.671473356e-12
1.025124483e-03,2.357675964e-09,8.671143366e-12
1.113317882e-03,2.361892877e-09,8.670813098e-12
1.209098725e-03,2.365123585e-09,8.670482462e-12
1.313119776e-03,2.367449347e-09,8.670151373e-12
1.426089954e-03,2.368945380e-09,8.669819753e-12
1.548779171e-03,2.369681618e-09,8.669487532e-12
1.682023573e-03,2.369723598e-09,8.669154648e-12
1.826731243e-03,2.369133389e-09,8.668821049e-12
1.983888387e-03,2.367970305e-09,8.668486693e-12
2.154566058e-03,2.366290985e-09,8.668151549e-12
2.339927452e-03,2.364148520e-09,8.667815599e-12
2.541235837e-03,2.361590857e-09,8.667478833e-12
2.759863163e-03,2.358659419e-09,8.667141251e-12
2.997299412e-03,2.355388935e-09,8.666802853e-12
3.255162750e-03,2.351808566e-09,8.666463645e-12
3.535210559e-03,2.347943599e-09,8.666123630e-12
3.839351411e-03,2.343816890e-09,8.665782809e-12
4.169658076e-03,2.339449719e-09,8.665441180e-12
4.528381648e-03,2.334862154e-09,8.665098739e-12
4.917966887e-03,2.330073125e-09,8.664755476e-12
5.341068882e-03,2.325100407e-09,8.664411382e-12
5.800571141e-03,2.319960582e-09,8.664066445e-12
6.299605249e-03,2.314669030e-09,8.663720651e-12
6.841572206e-03,2.309239949e-09,8.663373987e-12
7.430165605e-03,2.303686399e-09,8.663026437e-12
8.069396808e-03,2.298020358e-09,8.662677989e-12
8.763622280e-03,2.292252794e-09,8.662328628e-12
9.517573283e-03,2.286393732e-09,8.661978339e-12
1.033638812e-02,2.280452327e-09,8.661627110e-12
1.122564714e-02,2.274436932e-09,8.661274929e-12
1.219141080e-02,2.268355163e-09,8.660921782e-12
1.324026093e-02,2.262213961e-09,8.660567657e-12
1.437934563e-02,2.256019653e-09,8.660212545e-12
1.561642793e-02,2.249777996e-09,8.659856434e-12
1.695993877e-02,2.243494237e-09,8.659499313e-12
1.841903438e-02,2.237173150e-09,8.659141174e-12
2.000365875e-02,2.230819079e-09,8.658782005e-12
2.172461136e-02,2.224435979e-09,8.658421800e-12
2.359362077e-02,2.218027447e-09,8.658060548e-12
2.562342460e-02,2.211596756e-09,8.657698242e-12
2.782785629e-02,2.205146880e-09,8.657334872e-12
3.022193940e-02,2.198680527e-09,8.656970433e-12
