ell,C_ell_over_smooth
2,0.723300742
3,0.803042313
4,0.849596717
5,0.878328636
6,0.897852176
7,0.911991839
8,0.922704858
9,0.931101472
10,0.937858652
11,0.943412824
12,0.948058113
13,0.952000004
14,0.955386439
15,0.958326658
16,0.960903077
17,0.963179083
18,0.965204209
19,0.967017732
20,0.968651223
21,0.970130317
22,0.971476059
23,0.972705902
24,0.973834401
25,0.974873800
26,0.975834488
27,0.976725295
28,0.977553769
29,0.978326430
30,0.979048908
31,0.979726064
32,0.980362155
33,0.980960918
34,0.981525622
35,0.982059140
36,0.982564043
37,0.983042621
38,0.983496898
39,0.983928688
40,0.984339644
41,0.984731258
42,0.985104864
43,0.985461672
44,0.985802797
45,0.986129264
46,0.986442000
47,0.986741844
48,0.987029578
49,0.987305930
50,0.987571570
