k_over_kpivot,scalar_transfer,tensor_transfer
3.123285586e-01,9.970465413e-01,9.999935752e-01
3.391987754e-01,9.973792342e-01,9.999948397e-01
3.683806877e-01,9.976875642e-01,9.999959848e-01
4.000731751e-01,9.979732670e-01,9.999970095e-01
4.344922272e-01,9.982379256e-01,9.999979126e-01
4.718724154e-01,9.984829838e-01,9.999986931e-01
5.124684919e-01,9.987097580e-01,9.999993501e-01
5.565571257e-01,9.989194476e-01,9.999998826e-01
6.044387881e-01,9.991131457e-01,1.000000290e+00
6.564398004e-01,9.992918482e-01,1.000000570e+00
7.129145582e-01,9.994564618e-01,1.000000724e+00
7.742479463e-01,9.996078118e-01,1.000000750e+00
8.408579617e-01,9.997466498e-01,1.000000646e+00
9.131985628e-01,9.998736590e-01,1.000000413e+00
9.917627627e-01,9.999894612e-01,1.000000050e+00
1.077085989e+00,1.000094621e+00,9.999995548e-01
1.169749734e+00,1.000189653e+00,9.999989279e-01
1.270385517e+00,1.000275023e+00,9.999981683e-01
1.379679186e+00,1.000351154e+00,9.999972750e-01
1.498375596e+00,1.000418432e+00,9.999962475e-01
1.627283683e+00,1.000477204e+00,9.999950849e-01
1.767281977e+00,1.000527787e+00,9.999937864e-01
1.919324589e+00,1.000570466e+00,9.999923515e-01
2.084447714e+00,1.000605502e+00,9.999907793e-01
2.263776694e+00,1.000633128e+00,9.999890691e-01
2.458533685e+00,1.000653557e+00,9.999872202e-01
2.670045989e+00,1.000666981e+00,9.999852318e-01
2.899755096e+00,1.000673571e+00,9.999831033e-01
3.149226512e+00,1.000673483e+00,9.999808340e-01
3.420160427e+00,1.000666858e+00,9.999784230e-01
3.714403298e+00,1.000653822e+00,9.999758698e-01
4.033960440e+00,1.000634488e+00,9.999731735e-01
4.381009688e+00,1.000608957e+00,9.999703335e-01
4.757916239e+00,1.000577320e+00,9.999673490e-01
5.167248774e+00,1.000539659e+00,9.999642193e-01
5.611796960e+00,1.000496045e+00,9.999609436e-01
6.094590469e+00,1.000446542e+00,9.999575214e-01
6.618919616e+00,1.000391208e+00,9.999539517e-01
7.188357791e+00,1.000330093e+00,9.999502340e-01
7.806785810e+00,1.000263240e+00,9.999463674e-01
8.478418362e+00,1.000190689e+00,9.999423512e-01
9.207832732e+00,1.000112472e+00,9.999381847e-01
1.000000000e+01,1.000028620e+00,9.999338671e-01
