ell,C_ell_over_smooth
2,0.891778774
3,0.927183308
4,0.944409158
5,0.954659279
6,0.961488480
7,0.966377251
8,0.970057620
9,0.972934839
10,0.975251732
11,0.977162369
12,0.978768828
13,0.980141156
14,0.981328938
15,0.982368294
16,0.983286234
17,0.984103437
18,0.984836057
19,0.985496922
20,0.986096378
21,0.986642857
22,0.987143309
23,0.987603519
24,0.988028332
25,0.988421843
26,0.988787536
27,0.989128393
28,0.989446976
29,0.989745508
30,0.990025922
31,0.990289904
32,0.990538936
33,0.990774326
34,0.990997230
35,0.991208673
36,0.991409572
37,0.991600746
38,0.991782930
39,0.991956783
40,0.992122902
41,0.992281828
42,0.992434050
43,0.992580011
44,0.992720119
45,0.992854744
46,0.992984225
47,0.993108873
48,0.993228973
49,0.993344789
50,0.993456564
