k_over_kpivot,scalar_transfer,tensor_transfer
3.123285586e-01,9.979605769e-01,9.999929586e-01
3.391987754e-01,9.981601667e-01,9.999943362e-01
3.683806877e-01,9.983499200e-01,9.999955828e-01
4.000731751e-01,9.985303001e-01,9.999966977e-01
4.344922272e-01,9.987017258e-01,9.999976800e-01
4.718724154e-01,9.988645751e-01,9.999985290e-01
5.124684919e-01,9.990191893e-01,9.999992440e-01
5.565571257e-01,9.991658763e-01,9.999998242e-01
6.044387881e-01,9.993049135e-01,1.000000269e+00
6.564398004e-01,9.994365509e-01,1.000000578e+00
7.129145582e-01,9.995610132e-01,1.000000749e+00
7.742479463e-01,9.996785026e-01,1.000000783e+00
8.408579617e-01,9.997892007e-01,1.000000679e+00
9.131985628e-01,9.998932701e-01,1.000000436e+00
9.917627627e-01,9.999908567e-01,1.000000052e+00
1.077085989e+00,1.000082091e+00,9.999995289e-01
1.169749734e+00,1.000167089e+00,9.999988641e-01
1.270385517e+00,1.000245956e+00,9.999980574e-01
1.379679186e+00,1.000318783e+00,9.999971081e-01
1.498375596e+00,1.000385651e+00,9.999960155e-01
1.627283683e+00,1.000446635e+00,9.999947788e-01
1.767281977e+00,1.000501797e+00,9.999933974e-01
1.919324589e+00,1.000551194e+00,9.999918705e-01
2.084447714e+00,1.000594876e+00,9.999901974e-01
2.263776694e+00,1.000632884e+00,9.999883774e-01
2.458533685e+00,1.000665256e+00,9.999864097e-01
2.670045989e+00,1.000692024e+00,9.999842937e-01
2.899755096e+00,1.000713215e+00,9.999820286e-01
3.149226512e+00,1.000728852e+00,9.999796136e-01
3.420160427e+00,1.000738954e+00,9.999770480e-01
3.714403298e+00,1.000743537e+00,9.999743311e-01
4.033960440e+00,1.000742613e+00,9.999714621e-01
4.381009688e+00,1.000736191e+00,9.999684403e-01
4.757916239e+00,1.000724279e+00,9.999652649e-01
5.167248774e+00,1.000706880e+00,9.999619351e-01
5.611796960e+00,1.000683998e+00,9.999584502e-01
6.094590469e+00,1.000655634e+00,9.999548095e-01
6.618919616e+00,1.000621785e+00,9.999510121e-01
7.188357791e+00,1.000582449e+00,9.999470573e-01
7.806785810e+00,1.000537623e+00,9.999429442e-01
8.478418362e+00,1.000487300e+00,9.999386722e-01
9.207832732e+00,1.000431475e+00,9.999342404e-01
1.000000000e+01,1.000370139e+00,9.999296480e-01
