k_Mpc,P_R,P_t
1.000000000e-06,3.946798258e-07,9.031553307e-12
1.086031892e-06,3.463869503e-07,9.031528584e-12
1.179465270e-06,3.039949292e-07,9.031500924e-12
1.280936898e-06,2.667819394e-07,9.031470004e-12
1.391138323e-06,2.341144955e-07,9.031435469e-12
1.510820584e-06,2.054366369e-07,9.031396933e-12
1.640799337e-06,1.802604387e-07,9.031353972e-12
1.781960408e-06,1.581576840e-07,9.031306128e-12
1.935265833e-06,1.387525564e-07,9.031252902e-12
2.101760413e-06,1.217152265e-07,9.031193755e-12
2.282578837e-06,1.067562245e-07,9.031128109e-12
2.478953413e-06,9.362150106e-08,9.031055341e-12
2.692222464e-06,8.208809385e-08,9.030974787e-12
2.923839456e-06,7.196032407e-08,9.030885740e-12
3.175382895e-06,6.306645948e-08,9.030787455e-12
3.448567092e-06,5.525578613e-08,9.030679146e-12
3.745253843e-06,4.839603913e-08,9.030559995e-12
4.067465116e-06,4.237114847e-08,9.030429153e-12
4.417396834e-06,3.707926162e-08,9.030285750e-12
4.797433840e-06,3.243100905e-08,9.030128901e-12
5.210166149e-06,2.834798320e-08,9.029957721e-12
5.658406598e-06,2.476140485e-08,9.029771334e-12
6.145210022e-06,2.161095428e-08,9.029568892e-12
6.673894065e-06,1.884374721e-08,9.029349590e-12
7.248061796e-06,1.641343799e-08,9.029112695e-12
7.871626264e-06,1.427943467e-08,9.028857563e-12
8.548837162e-06,1.240621236e-08,9.028583668e-12
9.284309795e-06,1.076271283e-08,9.028290635e-12
1.008305653e-05,9.321819651e-09,9.027978264e-12
1.095052096e-05,8.059899083e-09,9.027646569e-12
1.189261499e-05,6.956397878e-09,9.027295803e-12
1.291575915e-05,5.993489597e-09,9.026926490e-12
1.402692635e-05,5.155761455e-09,9.026539448e-12
1.523368936e-05,4.429933786e-09,9.026135808e-12
1.654427247e-05,3.804604260e-09,9.025717023e-12
1.796760753e-05,3.270008878e-09,9.025284864e-12
1.951339479e-05,2.817791831e-09,9.024841406e-12
2.119216906e-05,2.440776641e-09,9.024388985e-12
2.301537145e-05,2.132732031e-09,9.023930152e-12
2.499542739e-05,1.888127959e-09,9.023467595e-12
2.714583130e-05,1.701880843e-09,9.023004044e-12
2.948123851e-05,1.569092291e-09,9.022542169e-12
3.201756523e-05,1.484793006e-09,9.022084458e-12
3.477209694e-05,1.443712374e-09,9.021633098e-12
3.776360621e-05,1.440103320e-09,9.021189872e-12
4.101248069e-05,1.467658894e-09,9.020756070e-12
4.454086199e-05,1.519557927e-09,9.020332441e-12
4.837279661e-05,1.588667682e-09,9.019919188e-12
5.253439980e-05,1.667907781e-09,9.019516013e-12
5.705403360e-05,1.750741378e-09,9.019122207e-12
6.196250004e-05,1.831712156e-09,9.018736782e-12
6.729325113e-05,1.906903475e-09,9.018358611e-12
7.308261682e-05,1.974180668e-09,9.017986566e-12
7.937005260e-05,2.033110766e-09,9.017619624e-12
8.619840837e-05,2.084544032e-09,9.017256925e-12
9.361422050e-05,2.129967028e-09,9.016897791e-12
1.016680290e-04,2.170842503e-09,9.016541693e-12
1.104147218e-04,2.208168705e-09,9.016188213e-12
1.199139092e-04,2.242385100e-09,9.015837001e-12
1.302303297e-04,2.273567819e-09,9.015487745e-12
1.414342913e-04,2.301714019e-09,9.015140164e-12
1.536021509e-04,2.326916926e-09,9.014794001e-12
1.668168345e-04,2.349373157e-09,9.014449025e-12
1.811684024e-04,2.369307234e-09,9.014105027e-12
1.967546628e-04,2.386920031e-09,9.013761820e-12
2.136818386e-04,2.402387702e-09,9.013419233e-12
2.320652914e-04,2.415875439e-09,9.013077109e-12
2.520303074e-04,2.427540892e-09,9.012735306e-12
2.737129515e-04,2.437531881e-09,9.012393692e-12
2.972609945e-04,2.445985859e-09,9.012052144e-12
3.228349202e-04,2.453030491e-09,9.011710549e-12
3.506090191e-04,2.458784042e-09,9.011368800e-12
3.807725762e-04,2.463355765e-09,9.011026798e-12
4.135311613e-04,2.466846386e-09,9.010684450e-12
4.491080293e-04,2.469348622e-09,9.010341668e-12
4.877456427e-04,2.470947755e-09,9.009998369e-12
5.297073230e-04,2.471722286e-09,9.009654478e-12
5.752790460e-04,2.471744688e-09,9.009309925e-12
6.247713906e-04,2.471082269e-09,9.008964648e-12
6.785216552e-04,2.469798115e-09,9.008618594e-12
7.368961568e-04,2.467951951e-09,9.008271718e-12
8.002927271e-04,2.465600583e-09,9.007923986e-12
8.691434243e-04,2.462797570e-09,9.007575376e-12
9.439174773e-04,2.459592056e-09,9.007225874e-12
1.025124483e-03,2.456027322e-09,9.006875476e-12
1.113317882e-03,2.452140033e-09,9.006524181e-12
1.209098725e-03,2.447960733e-09,9.006171994e-12
1.313119776e-03,2.443515261e-09,9.005818920e-12
1.426089954e-03,2.438826304e-09,9.005464961e-12
1.548779171e-03,2.433914534e-09,9.005110118e-12
1.682023573e-03,2.428799219e-09,9.004754389e-12
1.826731243e-03,2.423498447e-09,9.004397769e-12
1.983888387e-03,2.418029180e-09,9.004040251e-12
2.154566058e-03,2.412407237e-09,9.003681824e-12
2.339927452e-03,2.406647282e-09,9.003322479e-12
2.541235837e-03,2.400762837e-09,9.002962202e-12
2.759863163e-03,2.394766314e-09,9.002600982e-12
2.997299412e-03,2.388669076e-09,9.002238806e-12
3.255162750e-03,2.382481490e-09,9.001875661e-12
3.535210559e-03,2.376213005e-09,9.001511534e-12
3.839351411e-03,2.369872214e-09,9.001146414e-12
4.169658076e-03,2.363466930e-09,9.000780287e-12
4.528381648e-03,2.357004248e-09,9.000413142e-12
4.917966887e-03,2.350490606e-09,9.000044969e-12
5.341068882e-03,2.343931846e-09,8.999675757e-12
5.800571141e-03,2.337333263e-09,8.999305495e-12
6.299605249e-03,2.330699661e-09,8.998934173e-12
6.841572206e-03,2.324035390e-09,8.998561782e-12
7.430165605e-03,2.317344392e-09,8.998188313e-12
8.069396808e-03,2.310630240e-09,8.997813757e-12
8.763622280e-03,2.303896168e-09,8.997438105e-12
9.517573283e-03,2.297145105e-09,8.997061350e-12
1.033638812e-02,2.290379701e-09,8.996683484e-12
1.122564714e-02,2.283602358e-09,8.996304498e-12
1.219141080e-02,2.276815248e-09,8.995924385e-12
1.324026093e-02,2.270020335e-09,8.995543138e-12
1.437934563e-02,2.263219399e-09,8.995160750e-12
1.561642793e-02,2.256414047e-09,8.994777213e-12
1.695993877e-02,2.249605736e-09,8.994392521e-12
1.841903438e-02,2.242795780e-09,8.994006667e-12
2.000365875e-02,2.235985369e-09,8.993619644e-12
2.172461136e-02,2.229175578e-09,8.993231446e-12
2.359362077e-02,2.222367380e-09,8.992842066e-12
2.562342460e-02,2.215561653e-09,8.992451498e-12
2.782785629e-02,2.208759191e-09,8.992059735e-12
3.022193940e-02,2.201960711e-09,8.991666771e-12
3.282199002e-02,2.195166861e-09,8.991272600e-12
3.564572791e-02,2.188378226e-09,8.990877214e-12
