ell,C_ell_over_smooth
2,1.878383806
3,1.211800496
4,1.052250453
5,1.007907219
6,0.995524128
7,0.992270213
8,0.991548125
9,0.991499015
10,0.991628639
11,0.991811095
12,0.992011549
13,0.992216728
14,0.992419580
15,0.992616030
16,0.992803974
17,0.992982593
18,0.993151793
19,0.993311873
20,0.993463333
21,0.993606732
22,0.993742627
23,0.993871571
24,0.993994090
25,0.994110659
26,0.994221710
27,0.994327649
28,0.994428852
29,0.994525652
30,0.994618347
31,0.994707213
32,0.994792508
33,0.994874470
34,0.994953307
35,0.995029208
36,0.995102350
37,0.995172902
38,0.995241017
39,0.995306836
40,0.995370484
41,0.995432077
42,0.995491727
43,0.995549540
44,0.995605612
45,0.995660033
46,0.995712886
47,0.995764246
48,0.995814187
49,0.995862774
50,0.995910074
