k_Mpc,P_R,P_t
1.000000000e-06,1.879496838e-05,8.740293206e-12
1.141735102e-06,1.524111381e-05,8.740292142e-12
1.303559044e-06,1.235944863e-05,8.740290844e-12
1.488319119e-06,1.002280534e-05,8.740289263e-12
1.699266182e-06,8.128077159e-06,8.740287337e-12
1.940111848e-06,6.591665367e-06,8.740284995e-12
2.215093800e-06,5.345788106e-06,8.740282147e-12
2.529050347e-06,4.335487604e-06,8.740278689e-12
2.887505557e-06,3.516203715e-06,8.740274493e-12
3.296766453e-06,2.851806586e-06,8.740269408e-12
3.764033984e-06,2.313001584e-06,8.740263252e-12
4.297529726e-06,1.876036034e-06,8.740255809e-12
4.906640542e-06,1.521650669e-06,8.740246821e-12
5.602083742e-06,1.234229480e-06,8.740235983e-12
6.396095655e-06,1.001110421e-06,8.740222934e-12
7.302646928e-06,8.120265487e-07,8.740207250e-12
8.337688339e-06,6.586528913e-07,8.740188430e-12
9.519431450e-06,5.342390656e-07,8.740165892e-12
1.086866904e-05,4.333113999e-07,8.740138955e-12
1.240914096e-05,3.514314194e-07,8.740106835e-12
1.416795183e-05,2.850000284e-07,8.740068625e-12
1.617604793e-05,2.310987432e-07,8.740023290e-12
1.846876174e-05,1.873609654e-07,8.739969656e-12
2.108643358e-05,1.518676138e-07,8.739906399e-12
2.407512141e-05,1.230625068e-07,8.739832044e-12
2.748741121e-05,9.968375864e-08,8.739744964e-12
3.138334225e-05,8.070816355e-08,8.739643390e-12
3.583146348e-05,6.530611010e-08,8.739525424e-12
4.091003963e-05,5.280503658e-08,8.739389073e-12
4.670842829e-05,4.265981260e-08,8.739232288e-12
5.332865216e-05,3.442873686e-08,8.739053023e-12
6.088719414e-05,2.775408728e-08,8.738849315e-12
6.951704684e-05,2.234635704e-08,8.738619376e-12
7.937005260e-05,1.797146848e-08,8.738361704e-12
9.061957514e-05,1.444038256e-08,8.738075210e-12
1.034635499e-04,1.160062034e-08,8.737759333e-12
1.181279668e-04,9.329291789e-09,8.737414166e-12
1.348708462e-04,7.527291498e-09,8.737040534e-12
1.539867794e-04,6.114380798e-09,8.736640037e-12
1.758121114e-04,5.024940780e-09,8.736215023e-12
2.007308590e-04,4.204263919e-09,8.735768472e-12
2.291814679e-04,3.605360555e-09,8.735303802e-12
2.616645267e-04,3.186384615e-09,8.734824592e-12
2.987515753e-04,2.908896779e-09,8.734334281e-12
3.410951604e-04,2.737213025e-09,8.733835875e-12
3.894403179e-04,2.638943279e-09,8.733331741e-12
4.446376813e-04,2.586464474e-09,8.732823526e-12
5.076584486e-04,2.558597807e-09,8.732312222e-12
5.796114708e-04,2.541477885e-09,8.731798323e-12
6.617627620e-04,2.527879140e-09,8.731282026e-12
7.555577749e-04,2.515144406e-09,8.730763388e-12
8.626468336e-04,2.502760299e-09,8.730242422e-12
9.849141709e-04,2.490712758e-09,8.729719128e-12
1.124511082e-03,2.478930409e-09,8.729193501e-12
1.283893775e-03,2.467308426e-09,8.728665528e-12
1.465866591e-03,2.455779619e-09,8.728135194e-12
1.673631343e-03,2.444309712e-09,8.727602475e-12
1.910843652e-03,2.432879837e-09,8.727067347e-12
2.181677273e-03,2.421479060e-09,8.726529776e-12
2.490897525e-03,2.410100891e-09,8.725989728e-12
2.843945141e-03,2.398741289e-09,8.725447159e-12
3.247031997e-03,2.387397693e-09,8.724902024e-12
3.707250410e-03,2.376068747e-09,8.724354274e-12
4.232697927e-03,2.364754569e-09,8.723803857e-12
4.832619801e-03,2.353457364e-09,8.723250724e-12
5.517571664e-03,2.342181954e-09,8.722694830e-12
6.299605249e-03,2.330935434e-09,8.722136139e-12
7.192480445e-03,2.319725392e-09,8.721574625e-12
8.211907398e-03,2.308557302e-09,8.721010274e-12
9.375822935e-03,2.297432867e-09,8.720443080e-12
1.070470616e-02,2.286350381e-09,8.719873045e-12
1.222193878e-02,2.275306406e-09,8.719300171e-12
1.395421653e-02,2.264297341e-09,8.718724460e-12
1.593201884e-02,2.253320253e-09,8.718145910e-12
1.819014516e-02,2.242373054e-09,8.717564517e-12
2.076832725e-02,2.231454374e-09,8.716980274e-12
2.371192824e-02,2.220563363e-09,8.716393168e-12
2.707274082e-02,2.209699505e-09,8.715803186e-12
3.090989852e-02,2.198862498e-09,8.715210312e-12
3.529091615e-02,2.188052166e-09,8.714614528e-12
4.029287777e-02,2.177268407e-09,8.714015816e-12
4.600379293e-02,2.166511164e-09,8.713414155e-12
5.252414523e-02,2.155780402e-09,8.712809525e-12
5.996866034e-02,2.145076105e-09,8.712201904e-12
6.846832455e-02,2.134398262e-09,8.711591272e-12
7.817268955e-02,2.123746866e-09,8.710977605e-12
8.925250372e-02,2.113121916e-09,8.710360882e-12
1.019027165e-01,2.102523410e-09,8.709741080e-12
1.163459084e-01,2.091951346e-09,8.709118175e-12
1.328362077e-01,2.081405727e-09,8.708492144e-12
1.516637612e-01,2.070886550e-09,8.707862965e-12
1.731598399e-01,2.060393817e-09,8.707230612e-12
1.977026676e-01,2.049927529e-09,8.706595061e-12
2.257240755e-01,2.039487684e-09,8.705956289e-12
2.577171004e-01,2.029074286e-09,8.705314271e-12
2.942446601e-01,2.018687332e-09,8.704668982e-12
3.359494571e-01,2.008326825e-09,8.704020396e-12
3.835652878e-01,1.997992765e-09,8.703368488e-12
4.379299532e-01,1.987685151e-09,8.702713234e-12
5.000000000e-01,1.977403986e-09,8.702054605e-12
