ell,C_ell_over_smooth
2,0.709333380
3,0.579346643
4,0.625903763
5,0.687199675
6,0.736339658
7,0.772718273
8,0.800112596
9,0.821613694
10,0.839094687
11,0.853637283
12,0.865917575
13,0.876407763
14,0.885461257
15,0.893349034
16,0.900280126
17,0.906416981
18,0.911887221
19,0.916792478
20,0.921214866
21,0.925221370
22,0.928867203
23,0.932198355
24,0.935253298
25,0.938064499
26,0.940659635
27,0.943062320
28,0.945292823
29,0.947368765
30,0.949305442
31,0.951116136
32,0.952812551
33,0.954405042
34,0.955902695
35,0.957313546
36,0.958644821
37,0.959902986
38,0.961093764
39,0.962222294
40,0.963293270
41,0.964310938
42,0.965279084
43,0.966201136
44,0.967080261
45,0.967919370
46,0.968721081
47,0.969487759
48,0.970221603
49,0.970924669
50,0.971598839
