k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,2.342913214e+03,9.983429738e-01
2.172063783e-05,2.062512946e+03,9.983852450e-01
2.358930540e-05,1.815679634e+03,9.984274943e-01
2.561873796e-05,1.598394127e+03,9.984697186e-01
2.782276645e-05,1.407118557e+03,9.985119145e-01
3.021641168e-05,1.238738698e+03,9.985540782e-01
3.281598674e-05,1.090513241e+03,9.985962053e-01
3.563920816e-05,9.600291304e+02,9.986382908e-01
3.870531665e-05,8.451622584e+02,9.986803294e-01
4.203520826e-05,7.440428625e+02,9.987223149e-01
4.565157675e-05,6.550250675e+02,9.987642404e-01
4.957906825e-05,5.766600750e+02,9.988060982e-01
5.384444928e-05,5.076725636e+02,9.988478797e-01
5.847678911e-05,4.469399153e+02,9.988895751e-01
6.350765790e-05,3.934739297e+02,9.989311738e-01
6.897134185e-05,3.464047276e+02,9.989726636e-01
7.490507686e-05,3.049665828e+02,9.990140312e-01
8.134930232e-05,2.684854501e+02,9.990552615e-01
8.834793668e-05,2.363679869e+02,9.990963379e-01
9.594867680e-05,2.080918897e+02,9.991372420e-01
1.042033230e-04,1.831973876e+02,9.991779531e-01
1.131681320e-04,1.612797550e+02,9.992184484e-01
1.229042004e-04,1.419827196e+02,9.992587029e-01
1.334778813e-04,1.249926615e+02,9.992986886e-01
1.449612359e-04,1.100335058e+02,9.993383747e-01
1.574325253e-04,9.686222718e+01,9.993777273e-01
1.709767432e-04,8.526489259e+01,9.994167093e-01
1.856861959e-04,7.505317825e+01,9.994552797e-01
2.016611306e-04,6.606130339e+01,9.994933938e-01
2.190104191e-04,5.814333128e+01,9.995310027e-01
2.378522998e-04,5.117079345e+01,9.995680532e-01
2.583151831e-04,4.503059848e+01,9.996044873e-01
2.805385269e-04,3.962319115e+01,9.996402425e-01
3.046737871e-04,3.486093215e+01,9.996752511e-01
3.308854494e-04,3.066667176e+01,9.997094403e-01
3.593521505e-04,2.697249445e+01,9.997427324e-01
3.902678958e-04,2.371861386e+01,9.997750441e-01
4.238433811e-04,2.085240019e+01,9.998062874e-01
4.603074290e-04,1.832752417e+01,9.998363693e-01
4.999085479e-04,1.610320372e+01,9.998651925e-01
5.429166259e-04,1.414354090e+01,9.998926554e-01
5.896247703e-04,1.241693860e+01,9.999186536e-01
6.403513047e-04,1.089558729e+01,9.999430800e-01
6.954419387e-04,9.555013514e+00,9.999658268e-01
7.552721243e-04,8.373682978e+00,9.999867863e-01
8.202496139e-04,7.332651513e+00,1.000005853e+00
8.908172398e-04,6.415258458e+00,1.000022926e+00
9.674559321e-04,5.606857387e+00,1.000037911e+00
1.050687996e-03,4.894579812e+00,1.000050723e+00
1.141080672e-03,4.267127984e+00,1.000061289e+00
1.239250001e-03,3.714593355e+00,1.000069556e+00
1.345865023e-03,3.228297652e+00,1.000075485e+00
1.461652336e-03,2.800653779e+00,1.000079067e+00
1.587401052e-03,2.425044011e+00,1.000080316e+00
1.723968167e-03,2.095713092e+00,1.000079280e+00
1.872284410e-03,1.807673933e+00,1.000076042e+00
2.033360580e-03,1.556623607e+00,1.000070722e+00
2.208294437e-03,1.338867280e+00,1.000063480e+00
2.398278185e-03,1.151247632e+00,1.000054517e+00
2.604606594e-03,9.910771823e-01,1.000044073e+00
2.828685826e-03,8.560708965e-01,1.000032423e+00
3.072043019e-03,7.442765040e-01,1.000019874e+00
3.336336691e-03,6.540003330e-01,1.000006755e+00
3.623368048e-03,5.837272262e-01,9.999934082e-01
3.935093255e-03,5.320345174e-01,9.999801761e-01
4.273636772e-03,4.975021867e-01,9.999673859e-01
4.641305828e-03,4.786242525e-01,9.999553352e-01
5.040606148e-03,4.737299861e-01,9.999442774e-01
5.474259030e-03,4.809270713e-01,9.999344087e-01
5.945219890e-03,4.980813116e-01,9.999258587e-01
6.456698404e-03,5.228473402e-01,9.999186860e-01
7.012180381e-03,5.527601999e-01,9.999128811e-01
7.615451524e-03,5.853872259e-01,9.999083739e-01
