k_Mpc,P_R,P_t
4.917966887e-03,2.288583055e-09,8.668228269e-12
5.341068882e-03,2.287405760e-09,8.667882046e-12
5.800571141e-03,2.285722071e-09,8.667534994e-12
6.299605249e-03,2.283583993e-09,8.667187090e-12
6.841572206e-03,2.281038801e-09,8.666838322e-12
7.430165605e-03,2.278127603e-09,8.666488689e-12
8.069396808e-03,2.274884937e-09,8.666138192e-12
8.763622280e-03,2.271339714e-09,8.665786835e-12
9.517573283e-03,2.267516837e-09,8.665434622e-12
1.033638812e-02,2.263438674e-09,8.665081555e-12
1.122564714e-02,2.259125981e-09,8.664727631e-12
1.219141080e-02,2.254598307e-09,8.664372846e-12
1.324026093e-02,2.249874108e-09,8.664017192e-12
1.437934563e-02,2.244970721e-09,8.663660658e-12
1.561642793e-02,2.239904337e-09,8.663303232e-12
1.695993877e-02,2.234689984e-09,8.662944901e-12
1.841903438e-02,2.229341541e-09,8.662585649e-12
2.000365875e-02,2.223871777e-09,8.662225462e-12
2.172461136e-02,2.218292409e-09,8.661864325e-12
2.359362077e-02,2.212614162e-09,8.661502222e-12
2.562342460e-02,2.206846843e-09,8.661139141e-12
2.782785629e-02,2.200999404e-09,8.660775066e-12
3.022193940e-02,2.195080015e-09,8.660409985e-12
3.282199002e-02,2.189096122e-09,8.660043884e-12
3.564572791e-02,2.183054512e-09,8.659676750e-12
3.871239731e-02,2.176961367e-09,8.659308573e-12
4.204289809e-02,2.170822317e-09,8.658939341e-12
4.565992814e-02,2.164642487e-09,8.658569042e-12
4.958813813e-02,2.158426540e-09,8.658197666e-12
5.385429946e-02,2.152178722e-09,8.657825204e-12
5.848748672e-02,2.145902894e-09,8.657451646e-12
6.351927584e-02,2.139602568e-09,8.657076983e-12
6.898395930e-02,2.133280938e-09,8.656701205e-12
7.491877982e-02,2.126940908e-09,8.656324304e-12
8.136418417e-02,2.120585120e-09,8.655946272e-12
8.836409885e-02,2.114215974e-09,8.655567101e-12
9.596622943e-02,2.107835650e-09,8.655186783e-12
1.042223857e-01,2.101446132e-09,8.654805309e-12
1.131888347e-01,2.095049221e-09,8.654422673e-12
1.229266843e-01,2.088646553e-09,8.654038867e-12
1.335022994e-01,2.082239613e-09,8.653653884e-12
1.449877548e-01,2.075829752e-09,8.653267716e-12
1.574613256e-01,2.069418195e-09,8.652880358e-12
1.710080213e-01,2.063006055e-09,8.652491801e-12
1.857201649e-01,2.056594341e-09,8.652102039e-12
2.016980220e-01,2.050183971e-09,8.651711065e-12
2.190504844e-01,2.043775775e-09,8.651318872e-12
2.378958120e-01,2.037370510e-09,8.650925454e-12
2.583624387e-01,2.030968859e-09,8.650530805e-12
2.805898480e-01,2.024571444e-09,8.650134916e-12
3.047295234e-01,2.018178827e-09,8.649737783e-12
3.309459808e-01,2.011791520e-09,8.649339398e-12
3.594178896e-01,2.005409986e-09,8.648939754e-12
3.903392905e-01,1.999034644e-09,8.648538846e-12
4.239209181e-01,1.992665875e-09,8.648136667e-12
4.603916366e-01,1.986304023e-09,8.647733210e-12
5.000000000e-01,1.979949401e-09,8.647328468e-12
