k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,1.132114703e+04,9.979422545e-01
2.172063783e-05,9.963391238e+03,9.979847535e-01
2.358930540e-05,8.768496583e+03,9.980272488e-01
2.561873796e-05,7.716926328e+03,9.980697395e-01
2.782276645e-05,6.791487455e+03,9.981122250e-01
3.021641168e-05,5.977049497e+03,9.981547042e-01
3.281598674e-05,5.260297098e+03,9.981971761e-01
3.563920816e-05,4.629512260e+03,9.982396395e-01
3.870531665e-05,4.074382711e+03,9.982820931e-01
4.203520826e-05,3.585833270e+03,9.983245352e-01
4.565157675e-05,3.155877430e+03,9.983669641e-01
4.957906825e-05,2.777486761e+03,9.984093780e-01
5.384444928e-05,2.444475970e+03,9.984517746e-01
5.847678911e-05,2.151401753e+03,9.984941515e-01
6.350765790e-05,1.893473786e+03,9.985365058e-01
6.897134185e-05,1.666476385e+03,9.985788344e-01
7.490507686e-05,1.466699572e+03,9.986211337e-01
8.134930232e-05,1.290878412e+03,9.986633999e-01
8.834793668e-05,1.136139616e+03,9.987056284e-01
9.594867680e-05,9.999545660e+02,9.987478142e-01
1.042033230e-04,8.800979617e+02,9.987899516e-01
1.131681320e-04,7.746114363e+02,9.988320345e-01
1.229042004e-04,6.817715341e+02,9.988740556e-01
1.334778813e-04,6.000615302e+02,9.989160070e-01
1.449612359e-04,5.281466308e+02,9.989578799e-01
1.574325253e-04,4.648521491e+02,9.989996644e-01
1.709767432e-04,4.091442988e+02,9.990413492e-01
1.856861959e-04,3.601132918e+02,9.990829221e-01
2.016611306e-04,3.169584636e+02,9.991243692e-01
2.190104191e-04,2.789751834e+02,9.991656751e-01
2.378522998e-04,2.455433342e+02,9.992068227e-01
2.583151831e-04,2.161171747e+02,9.992477929e-01
2.805385269e-04,1.902164178e+02,9.992885646e-01
3.046737871e-04,1.674183796e+02,9.993291143e-01
3.308854494e-04,1.473510690e+02,9.993694162e-01
3.593521505e-04,1.296871078e+02,9.994094414e-01
3.902678958e-04,1.141383790e+02,9.994491584e-01
4.238433811e-04,1.004513178e+02,9.994885322e-01
4.603074290e-04,8.840276714e+01,9.995275245e-01
4.999085479e-04,7.779633057e+01,9.995660931e-01
5.429166259e-04,6.845916250e+01,9.996041921e-01
5.896247703e-04,6.023914364e+01,9.996417709e-01
6.403513047e-04,5.300239522e+01,9.996787748e-01
6.954419387e-04,4.663109141e+01,9.997151441e-01
7.552721243e-04,4.102153423e+01,9.997508143e-01
8.202496139e-04,3.608245933e+01,9.997857155e-01
8.908172398e-04,3.173354519e+01,9.998197728e-01
9.674559321e-04,2.790410108e+01,9.998529058e-01
1.050687996e-03,2.453191254e+01,9.998850289e-01
1.141080672e-03,2.156222545e+01,9.999160510e-01
1.239250001e-03,1.894685206e+01,9.999458763e-01
1.345865023e-03,1.664338443e+01,9.999744041e-01
1.461652336e-03,1.461450238e+01,1.000001530e+00
