k_Mpc,P_R,P_t
1.000000000e-06,3.525622728e-05,8.710465708e-12
1.086031892e-06,3.094080493e-05,8.710465348e-12
1.179465270e-06,2.715367261e-05,8.710464939e-12
1.280936898e-06,2.383015194e-05,8.710464476e-12
1.391138323e-06,2.091348345e-05,8.710463951e-12
1.510820584e-06,1.835385699e-05,8.710463355e-12
1.640799337e-06,1.610756088e-05,8.710462679e-12
1.781960408e-06,1.413623523e-05,8.710461914e-12
1.935265833e-06,1.240621668e-05,8.710461046e-12
2.101760413e-06,1.088796337e-05,8.710460064e-12
2.282578837e-06,9.555550302e-06,8.710458951e-12
2.478953413e-06,8.386226541e-06,8.710457690e-12
2.692222464e-06,7.360026563e-06,8.710456263e-12
2.923839456e-06,6.459429232e-06,8.710454648e-12
3.175382895e-06,5.669058520e-06,8.710452821e-12
3.448567092e-06,4.975420873e-06,8.710450754e-12
3.745253843e-06,4.366674725e-06,8.710448416e-12
4.067465116e-06,3.832428240e-06,8.710445773e-12
4.417396834e-06,3.363561822e-06,8.710442786e-12
4.797433840e-06,2.952072340e-06,8.710439411e-12
5.210166149e-06,2.590936444e-06,8.710435599e-12
5.658406598e-06,2.273990605e-06,8.710431294e-12
6.145210022e-06,1.995825847e-06,8.710426437e-12
6.673894065e-06,1.751695363e-06,8.710420956e-12
7.248061796e-06,1.537433450e-06,8.710414775e-12
7.871626264e-06,1.349384360e-06,8.710407807e-12
8.548837162e-06,1.184339871e-06,8.710399956e-12
9.284309795e-06,1.039484492e-06,8.710391114e-12
1.008305653e-05,9.123473877e-07,8.710381160e-12
1.095052096e-05,8.007601801e-07,8.710369960e-12
1.189261499e-05,7.028199203e-07,8.710357365e-12
1.291575915e-05,6.168565944e-07,8.710343209e-12
1.402692635e-05,5.414046060e-07,8.710327309e-12
1.523368936e-05,4.751777519e-07,8.710309459e-12
1.654427247e-05,4.170472600e-07,8.710289434e-12
1.796760753e-05,3.660225170e-07,8.710266985e-12
1.951339479e-05,3.212341552e-07,8.710241835e-12
2.119216906e-05,2.819192104e-07,8.710213680e-12
2.301537145e-05,2.474080966e-07,8.710182188e-12
2.499542739e-05,2.171131752e-07,8.710146991e-12
2.714583130e-05,1.905187242e-07,8.710107688e-12
2.948123851e-05,1.671721350e-07,8.710063841e-12
3.201756523e-05,1.466761874e-07,8.710014973e-12
3.477209694e-05,1.286822701e-07,8.709960564e-12
3.776360621e-05,1.128844313e-07,8.709900052e-12
4.101248069e-05,9.901415784e-08,8.709832832e-12
4.454086199e-05,8.683579350e-08,8.709758249e-12
4.837279661e-05,7.614251849e-08,8.709675606e-12
5.253439980e-05,6.675282126e-08,8.709584157e-12
5.705403360e-05,5.850740247e-08,8.709483111e-12
6.196250004e-05,5.126645831e-08,8.709371632e-12
6.729325113e-05,4.490729677e-08,8.709248847e-12
7.308261682e-05,3.932224618e-08,8.709113845e-12
7.937005260e-05,3.441682038e-08,8.708965684e-12
8.619840837e-05,3.010810920e-08,8.708803405e-12
9.361422050e-05,2.632336680e-08,8.708626037e-12
1.016680290e-04,2.299877387e-08,8.708432609e-12
1.104147218e-04,2.007835252e-08,8.708222175e-12
1.199139092e-04,1.751301542e-08,8.707993821e-12
1.302303297e-04,1.525973295e-08,8.707746697e-12
1.414342913e-04,1.328080414e-08,8.707480038e-12
1.536021509e-04,1.154321871e-08,8.707193190e-12
1.668168345e-04,1.001809947e-08,8.706885647e-12
1.811684024e-04,8.680214861e-09,8.706557080e-12
1.967546628e-04,7.507553160e-09,8.706207376e-12
2.136818386e-04,6.480950150e-09,8.705836668e-12
2.320652914e-04,5.583762939e-09,8.705445374e-12
2.520303074e-04,4.801582875e-09,8.705034227e-12
2.737129515e-04,4.121980749e-09,8.704604298e-12
2.972609945e-04,3.534277434e-09,8.704157017e-12
3.228349202e-04,3.029333065e-09,8.703694177e-12
3.506090191e-04,2.599347675e-09,8.703217924e-12
3.807725762e-04,2.237666216e-09,8.702730731e-12
4.135311613e-04,1.938581252e-09,8.702235352e-12
4.491080293e-04,1.697127625e-09,8.701734746e-12
4.877456427e-04,1.508865527e-09,8.701231994e-12
5.297073230e-04,1.369652009e-09,8.700730174e-12
5.752790460e-04,1.275406427e-09,8.700232244e-12
6.247713906e-04,1.221882630e-09,8.699740896e-12
6.785216552e-04,1.204469375e-09,8.699258427e-12
7.368961568e-04,1.218048976e-09,8.698786620e-12
8.002927271e-04,1.256949932e-09,8.698326663e-12
8.691434243e-04,1.315028356e-09,8.697879105e-12
9.439174773e-04,1.385901069e-09,8.697443875e-12
1.025124483e-03,1.463326944e-09,8.697020357e-12
1.113317882e-03,1.541692975e-09,8.696607517e-12
1.209098725e-03,1.616515053e-09,8.696204061e-12
1.313119776e-03,1.684826755e-09,8.695808612e-12
1.426089954e-03,1.745325047e-09,8.695419856e-12
1.548779171e-03,1.798189736e-09,8.695036652e-12
1.682023573e-03,1.844595399e-09,8.694658077e-12
1.826731243e-03,1.886059721e-09,8.694283418e-12
1.983888387e-03,1.923857741e-09,8.693912132e-12
2.154566058e-03,1.958712304e-09,8.693543780e-12
2.339927452e-03,1.990831102e-09,8.693177988e-12
2.541235837e-03,2.020172471e-09,8.692814417e-12
2.759863163e-03,2.046715948e-09,8.692452759e-12
2.997299412e-03,2.070573199e-09,8.692092731e-12
3.255162750e-03,2.091942214e-09,8.691734081e-12
3.535210559e-03,2.111023065e-09,8.691376580e-12
3.839351411e-03,2.127985262e-09,8.691020022e-12
4.169658076e-03,2.142980095e-09,8.690664218e-12
4.528381648e-03,2.156153260e-09,8.690308997e-12
4.917966887e-03,2.167644258e-09,8.689954200e-12
5.341068882e-03,2.177583782e-09,8.689599681e-12
5.800571141e-03,2.186093830e-09,8.689245303e-12
6.299605249e-03,2.193288180e-09,8.688890940e-12
6.841572206e-03,2.199272610e-09,8.688536473e-12
7.430165605e-03,2.204145201e-09,8.688181790e-12
8.069396808e-03,2.207996719e-09,8.687826787e-12
8.763622280e-03,2.210911039e-09,8.687471365e-12
9.517573283e-03,2.212965637e-09,8.687115432e-12
1.033638812e-02,2.214232162e-09,8.686758904e-12
1.122564714e-02,2.214777129e-09,8.686401703e-12
1.219141080e-02,2.214662735e-09,8.686043761e-12
1.324026093e-02,2.213947750e-09,8.685685019e-12
1.437934563e-02,2.212688254e-09,8.685325431e-12
1.561642793e-02,2.210937869e-09,8.684964961e-12
1.695993877e-02,2.208747115e-09,8.684603586e-12
1.841903438e-02,2.206161976e-09,8.684241295e-12
2.000365875e-02,2.203222477e-09,8.683878084e-12
2.172461136e-02,2.199962252e-09,8.683513954e-12
2.359362077e-02,2.196409427e-09,8.683148911e-12
2.562342460e-02,2.192588186e-09,8.682782957e-12
2.782785629e-02,2.188520220e-09,8.682416094e-12
3.022193940e-02,2.184225642e-09,8.682048320e-12
3.282199002e-02,2.179723393e-09,8.681679630e-12
3.564572791e-02,2.175031353e-09,8.681310016e-12
3.871239731e-02,2.170166323e-09,8.680939466e-12
4.204289809e-02,2.165143991e-09,8.680567969e-12
4.565992814e-02,2.159978921e-09,8.680195508e-12
4.958813813e-02,2.154684561e-09,8.679822070e-12
5.385429946e-02,2.149273285e-09,8.679447638e-12
5.848748672e-02,2.143756442e-09,8.679072197e-12
6.351927584e-02,2.138144423e-09,8.678695732e-12
6.898395930e-02,2.132446724e-09,8.678318227e-12
7.491877982e-02,2.126672015e-09,8.677939667e-12
8.136418417e-02,2.120828204e-09,8.677560039e-12
8.836409885e-02,2.114922499e-09,8.677179329e-12
9.596622943e-02,2.108961469e-09,8.676797523e-12
1.042223857e-01,2.102951094e-09,8.676414610e-12
1.131888347e-01,2.096896819e-09,8.676030577e-12
1.229266843e-01,2.090803602e-09,8.675645412e-12
1.335022994e-01,2.084675952e-09,8.675259105e-12
1.449877548e-01,2.078517972e-09,8.674871646e-12
1.574613256e-01,2.072333393e-09,8.674483023e-12
1.710080213e-01,2.066125610e-09,8.674093228e-12
1.857201649e-01,2.059897707e-09,8.673702250e-12
2.016980220e-01,2.053652491e-09,8.673310081e-12
2.190504844e-01,2.047392510e-09,8.672916712e-12
2.378958120e-01,2.041120082e-09,8.672522134e-12
2.583624387e-01,2.034837311e-09,8.672126339e-12
2.805898480e-01,2.028546111e-09,8.671729318e-12
3.047295234e-01,2.022248219e-09,8.671331063e-12
3.309459808e-01,2.015945212e-09,8.670931567e-12
3.594178896e-01,2.009638523e-09,8.670530822e-12
3.903392905e-01,2.003329454e-09,8.670128819e-12
4.239209181e-01,1.997019185e-09,8.669725553e-12
4.603916366e-01,1.990708788e-09,8.669321014e-12
5.000000000e-01,1.984399235e-09,8.668915196e-12
