ell,C_ell_over_smooth
2,3.143051350
3,1.520590831
4,0.952860588
5,0.706063900
6,0.596840705
7,0.555989635
8,0.551117200
9,0.565136383
10,0.588406334
11,0.615323151
12,0.642665024
13,0.668678534
14,0.692519510
15,0.713895984
16,0.732835692
17,0.749535871
18,0.764267596
19,0.777317007
20,0.788952715
21,0.799409699
22,0.808883955
23,0.817533874
24,0.825484549
25,0.832833579
26,0.839657087
27,0.846014741
28,0.851954192
29,0.857514683
30,0.862729238
31,0.867626359
32,0.872231537
33,0.876567875
34,0.880656229
35,0.884515668
36,0.888163902
37,0.891617167
38,0.894890078
39,0.897995952
40,0.900947111
41,0.903754751
42,0.906428859
43,0.908978484
44,0.911411997
45,0.913737095
46,0.915960692
47,0.918089014
48,0.920127859
49,0.922082683
50,0.923958475
