k_Mpc,P_R,P_t
1.000000000e-06,3.201269299e-05,9.042603114e-12
1.086031892e-06,2.809440598e-05,9.042602689e-12
1.179465270e-06,2.465578327e-05,9.042602207e-12
1.280936898e-06,2.163810025e-05,9.042601661e-12
1.391138323e-06,1.898982225e-05,9.042601041e-12
1.510820584e-06,1.666572419e-05,9.042600339e-12
1.640799337e-06,1.462611806e-05,9.042599543e-12
1.781960408e-06,1.283617497e-05,9.042598641e-12
1.935265833e-06,1.126533023e-05,9.042597620e-12
2.101760413e-06,9.886761240e-06,9.042596463e-12
2.282578837e-06,8.676929324e-06,9.042595153e-12
2.478953413e-06,7.615177670e-06,9.042593670e-12
2.692222464e-06,6.683378479e-06,9.042591992e-12
2.923839456e-06,5.865623328e-06,9.042590093e-12
3.175382895e-06,5.147951437e-06,9.042587946e-12
3.448567092e-06,4.518111216e-06,9.042585517e-12
3.745253843e-06,3.965350995e-06,9.042582772e-12
4.067465116e-06,3.480235391e-06,9.042579669e-12
4.417396834e-06,3.054484144e-06,9.042576164e-12
4.797433840e-06,2.680830696e-06,9.042572206e-12
5.210166149e-06,2.352898081e-06,9.042567737e-12
5.658406598e-06,2.065090011e-06,9.042562694e-12
6.145210022e-06,1.812495295e-06,9.042557006e-12
6.673894065e-06,1.590803965e-06,9.042550591e-12
7.248061796e-06,1.396233667e-06,9.042543361e-12
7.871626264e-06,1.225465067e-06,9.042535215e-12
8.548837162e-06,1.075585164e-06,9.042526042e-12
9.284309795e-06,9.440375427e-07,9.042515718e-12
1.008305653e-05,8.285787208e-07,9.042504103e-12
1.095052096e-05,7.272398361e-07,9.042491044e-12
1.189261499e-05,6.382930273e-07,9.042476370e-12
1.291575915e-05,5.602219298e-07,9.042459889e-12
1.402692635e-05,4.916957840e-07,9.042441392e-12
1.523368936e-05,4.315467138e-07,9.042420646e-12
1.654427247e-05,3.787497865e-07,9.042397392e-12
1.796760753e-05,3.324055141e-07,9.042371347e-12
1.951339479e-05,2.917244973e-07,9.042342198e-12
2.119216906e-05,2.560139490e-07,9.042309601e-12
2.301537145e-05,2.246658680e-07,9.042273179e-12
2.499542739e-05,1.971466608e-07,9.042232519e-12
2.714583130e-05,1.729880336e-07,9.042187172e-12
2.948123851e-05,1.517789997e-07,9.042136645e-12
3.201756523e-05,1.331588652e-07,9.042080408e-12
3.477209694e-05,1.168110741e-07,9.042017884e-12
3.776360621e-05,1.024578059e-07,9.041948451e-12
4.101248069e-05,8.985523617e-08,9.041871442e-12
4.454086199e-05,7.878937616e-08,9.041786142e-12
4.837279661e-05,6.907242285e-08,9.041691789e-12
5.253439980e-05,6.053955568e-08,9.041587578e-12
5.705403360e-05,5.304612592e-08,9.041472658e-12
6.196250004e-05,4.646519050e-08,9.041346140e-12
6.729325113e-05,4.068534825e-08,9.041207098e-12
7.308261682e-05,3.560884171e-08,9.041054581e-12
