ell,C_ell_over_smooth
2,2.807535643
3,1.363753784
4,0.876592469
5,0.678426578
6,0.601725868
7,0.582976189
8,0.592674924
9,0.615594930
10,0.643501318
11,0.671966359
12,0.698755837
13,0.722909591
14,0.744186935
15,0.762727021
16,0.778842450
17,0.792898457
18,0.805246875
19,0.816195082
20,0.825996076
21,0.834849861
22,0.842910898
23,0.850297297
24,0.857099316
25,0.863387120
26,0.869216836
27,0.874634460
28,0.879678950
29,0.884384494
30,0.888781377
31,0.892896591
32,0.896754652
33,0.900377832
34,0.903786051
35,0.906997174
36,0.910027445
37,0.912891489
38,0.915602259
39,0.918171379
40,0.920609481
41,0.922926163
42,0.925129966
43,0.927228617
44,0.929229270
45,0.931138502
46,0.932962230
47,0.934705792
48,0.936374165
49,0.937972033
50,0.939503674
