k_Mpc,P_R,P_t
1.000000000e-06,2.586224469e-05,8.770106614e-12
1.086031892e-06,2.269681974e-05,8.770106122e-12
1.179465270e-06,1.991889130e-05,8.770105564e-12
1.280936898e-06,1.748101902e-05,8.770104931e-12
1.391138323e-06,1.534157090e-05,8.770104214e-12
1.510820584e-06,1.346401207e-05,8.770103401e-12
1.640799337e-06,1.181628076e-05,8.770102480e-12
1.781960408e-06,1.037024057e-05,8.770101437e-12
1.935265833e-06,9.101199946e-06,8.770100255e-12
2.101760413e-06,7.987490316e-06,8.770098917e-12
2.282578837e-06,7.010096027e-06,8.770097403e-12
2.478953413e-06,6.152329511e-06,8.770095689e-12
2.692222464e-06,5.399546249e-06,8.770093750e-12
2.923839456e-06,4.738894630e-06,8.770091557e-12
3.175382895e-06,4.159096440e-06,8.770089077e-12
3.448567092e-06,3.650254218e-06,8.770086273e-12
3.745253843e-06,3.203682213e-06,8.770083105e-12
4.067465116e-06,2.811758025e-06,8.770079526e-12
4.417396834e-06,2.467792419e-06,8.770075484e-12
4.797433840e-06,2.165915073e-06,8.770070921e-12
5.210166149e-06,1.900974322e-06,8.770065772e-12
5.658406598e-06,1.668449165e-06,8.770059964e-12
6.145210022e-06,1.464372061e-06,8.770053415e-12
6.673894065e-06,1.285261162e-06,8.770046034e-12
7.248061796e-06,1.128060854e-06,8.770037718e-12
7.871626264e-06,9.900895741e-07,8.770028355e-12
8.548837162e-06,8.689940150e-07,8.770017816e-12
9.284309795e-06,7.627089389e-07,8.770005961e-12
1.008305653e-05,6.694219103e-07,8.769992633e-12
1.095052096e-05,5.875423474e-07,8.769977657e-12
1.189261499e-05,5.156743614e-07,8.769960838e-12
1.291575915e-05,4.525929230e-07,8.769941964e-12
1.402692635e-05,3.972229446e-07,8.769920795e-12
1.523368936e-05,3.486209256e-07,8.769897071e-12
1.654427247e-05,3.059588434e-07,8.769870500e-12
1.796760753e-05,2.685100177e-07,8.769840766e-12
1.951339479e-05,2.356367044e-07,8.769807518e-12
2.119216906e-05,2.067792090e-07,8.769770373e-12
2.301537145e-05,1.814463331e-07,8.769728910e-12
2.499542739e-05,1.592069899e-07,8.769682673e-12
2.714583130e-05,1.396828466e-07,8.769631163e-12
2.948123851e-05,1.225418674e-07,8.769573839e-12
3.201756523e-05,1.074926474e-07,8.769510116e-12
3.477209694e-05,9.427944022e-08,8.769439365e-12
3.776360621e-05,8.267779394e-08,8.769360907e-12
4.101248069e-05,7.249072229e-08,8.769274020e-12
4.454086199e-05,6.354534424e-08,8.769177933e-12
