k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,1.711568542e+03,9.984064310e-01
2.172063783e-05,1.506799399e+03,9.984489504e-01
2.358930540e-05,1.326535144e+03,9.984914399e-01
2.561873796e-05,1.167842548e+03,9.985338953e-01
2.782276645e-05,1.028139526e+03,9.985763122e-01
3.021641168e-05,9.051531021e+02,9.986186854e-01
3.281598674e-05,7.968824003e+02,9.986610091e-01
3.563920816e-05,7.015660695e+02,9.987032769e-01
3.870531665e-05,6.176536086e+02,9.987454815e-01
4.203520826e-05,5.437801232e+02,9.987876150e-01
4.565157675e-05,4.787441057e+02,9.988296682e-01
4.957906825e-05,4.214878748e+02,9.988716309e-01
5.384444928e-05,3.710803577e+02,9.989134920e-01
5.847678911e-05,3.267019326e+02,9.989552387e-01
6.350765790e-05,2.876310867e+02,9.989968571e-01
6.897134185e-05,2.532326712e+02,9.990383314e-01
7.490507686e-05,2.229475623e+02,9.990796443e-01
8.134930232e-05,1.962835604e+02,9.991207763e-01
8.834793668e-05,1.728073782e+02,9.991617061e-01
9.594867680e-05,1.521375888e+02,9.992024098e-01
1.042033230e-04,1.339384171e+02,9.992428611e-01
1.131681320e-04,1.179142755e+02,9.992830310e-01
1.229042004e-04,1.038049528e+02,9.993228875e-01
1.334778813e-04,9.138137994e+01,9.993623951e-01
1.449612359e-04,8.044190195e+01,9.994015153e-01
1.574325253e-04,7.080899671e+01,9.994402054e-01
1.709767432e-04,6.232638628e+01,9.994784191e-01
1.856861959e-04,5.485649414e+01,9.995161056e-01
2.016611306e-04,4.827820687e+01,9.995532097e-01
2.190104191e-04,4.248490377e+01,9.995896716e-01
2.378522998e-04,3.738272244e+01,9.996254266e-01
2.583151831e-04,3.288903195e+01,9.996604048e-01
2.805385269e-04,2.893108898e+01,9.996945313e-01
3.046737871e-04,2.544485477e+01,9.997277261e-01
3.308854494e-04,2.237395383e+01,9.997599039e-01
3.593521505e-04,1.966875741e+01,9.997909745e-01
3.902678958e-04,1.728557685e+01,9.998208430e-01
4.238433811e-04,1.518595357e+01,9.998494102e-01
4.603074290e-04,1.333603434e+01,9.998765733e-01
4.999085479e-04,1.170602154e+01,9.999022266e-01
5.429166259e-04,1.026968951e+01,9.999262626e-01
5.896247703e-04,9.003959230e+00,9.999485732e-01
6.403513047e-04,7.888524249e+00,9.999690515e-01
6.954419387e-04,6.905521984e+00,9.999875936e-01
7.552721243e-04,6.039244917e+00,1.000004101e+00
8.202496139e-04,5.275887061e+00,1.000018483e+00
8.908172398e-04,4.603321532e+00,1.000030660e+00
9.674559321e-04,4.010905583e+00,1.000040566e+00
1.050687996e-03,3.489309835e+00,1.000048154e+00
1.141080672e-03,3.030368806e+00,1.000053397e+00
1.239250001e-03,2.626950069e+00,1.000056295e+00
1.345865023e-03,2.272839609e+00,1.000056877e+00
1.461652336e-03,1.962641021e+00,1.000055204e+00
1.587401052e-03,1.691686282e+00,1.000051376e+00
1.723968167e-03,1.455955780e+00,1.000045528e+00
1.872284410e-03,1.252005223e+00,1.000037840e+00
2.033360580e-03,1.076896919e+00,1.000028526e+00
2.208294437e-03,9.281328350e-01,1.000017844e+00
2.398278185e-03,8.035868126e-01,1.000006083e+00
2.604606594e-03,7.014334965e-01,9.999935604e-01
2.828685826e-03,6.200720430e-01,9.999806121e-01
3.072043019e-03,5.580436923e-01,9.999675819e-01
3.336336691e-03,5.139439862e-01,9.999548075e-01
3.623368048e-03,4.863328922e-01,9.999426055e-01
3.935093255e-03,4.736493253e-01,9.999312568e-01
4.273636772e-03,4.741401694e-01,9.999209917e-01
4.641305828e-03,4.858171518e-01,9.999119791e-01
5.040606148e-03,5.064565038e-01,9.999043186e-01
5.474259030e-03,5.336545388e-01,9.998980394e-01
5.945219890e-03,5.649453452e-01,9.998931049e-01
6.456698404e-03,5.979738180e-01,9.998894236e-01
7.012180381e-03,6.306993736e-01,9.998868654e-01
7.615451524e-03,6.615873105e-01,9.998852805e-01
8.270623225e-03,6.897338091e-01,9.998845176e-01
8.982160587e-03,7.148764190e-01,9.998844386e-01
9.754912854e-03,7.372705902e-01,9.998849275e-01
1.059414646e-02,7.574602489e-01,9.998858931e-01
1.150558092e-02,7.760181049e-01,9.998872655e-01
1.249542781e-02,7.933511027e-01,9.998889903e-01
1.357043310e-02,8.096372131e-01,9.998910225e-01
