k_Mpc,P_R,P_t
1.000000000e-06,5.537516324e-06,8.756165613e-12
1.086031892e-06,4.859988811e-06,8.756163482e-12
1.179465270e-06,4.265379711e-06,8.756161073e-12
1.280936898e-06,3.743538808e-06,8.756158350e-12
1.391138323e-06,3.285558534e-06,8.756155273e-12
1.510820584e-06,2.883621831e-06,8.756151797e-12
1.640799337e-06,2.530868633e-06,8.756147871e-12
1.781960408e-06,2.221278700e-06,8.756143439e-12
1.935265833e-06,1.949568799e-06,8.756138439e-12
2.101760413e-06,1.711102473e-06,8.756132798e-12
2.282578837e-06,1.501810849e-06,8.756126438e-12
2.478953413e-06,1.318123159e-06,8.756119270e-12
2.692222464e-06,1.156905748e-06,8.756111195e-12
2.923839456e-06,1.015408567e-06,8.756102103e-12
3.175382895e-06,8.912182044e-07,8.756091870e-12
3.448567092e-06,7.822166759e-07,8.756080359e-12
3.745253843e-06,6.865452548e-07,8.756067418e-12
4.067465116e-06,6.025727337e-07,8.756052878e-12
4.417396834e-06,5.288675707e-07,8.756036551e-12
4.797433840e-06,4.641734465e-07,8.756018227e-12
5.210166149e-06,4.073878132e-07,8.755997678e-12
5.658406598e-06,3.575430704e-07,8.755974649e-12
6.145210022e-06,3.137900448e-07,8.755948858e-12
6.673894065e-06,2.753834935e-07,8.755919998e-12
7.248061796e-06,2.416693817e-07,8.755887730e-12
7.871626264e-06,2.120737172e-07,8.755851681e-12
8.548837162e-06,1.860927536e-07,8.755811445e-12
9.284309795e-06,1.632843911e-07,8.755766578e-12
1.008305653e-05,1.432606315e-07,8.755716598e-12
1.095052096e-05,1.256809562e-07,8.755660981e-12
1.189261499e-05,1.102465152e-07,8.755599160e-12
1.291575915e-05,9.669502783e-08,8.755530525e-12
1.402692635e-05,8.479630737e-08,8.755454421e-12
1.523368936e-05,7.434833432e-08,8.755370148e-12
1.654427247e-05,6.517381020e-08,8.755276959e-12
1.796760753e-05,5.711713372e-08,8.755174067e-12
1.951339479e-05,5.004174737e-08,8.755060641e-12
2.119216906e-05,4.382780936e-08,8.754935814e-12
2.301537145e-05,3.837015104e-08,8.754798688e-12
2.499542739e-05,3.357648502e-08,8.754648339e-12
2.714583130e-05,2.936583348e-08,8.754483826e-12
2.948123851e-05,2.566714981e-08,8.754304206e-12
3.201756523e-05,2.241811010e-08,8.754108544e-12
3.477209694e-05,1.956405398e-08,8.753895935e-12
3.776360621e-05,1.705705658e-08,8.753665515e-12
4.101248069e-05,1.485511592e-08,8.753416496e-12
4.454086199e-05,1.292144171e-08,8.753148180e-12
4.837279661e-05,1.122383332e-08,8.752859997e-12
5.253439980e-05,9.734136045e-09,8.752551531e-12
5.705403360e-05,8.427766048e-09,8.752222557e-12
6.196250004e-05,7.283295154e-09,8.751873072e-12
6.729325113e-05,6.282087607e-09,8.751503332e-12
7.308261682e-05,5.407981265e-09,8.751113880e-12
7.937005260e-05,4.647006088e-09,8.750705581e-12
8.619840837e-05,3.987132846e-09,8.750279636e-12
9.361422050e-05,3.418044945e-09,8.749837599e-12
1.016680290e-04,2.930926114e-09,8.749381372e-12
1.104147218e-04,2.518256598e-09,8.748913192e-12
1.199139092e-04,2.173610642e-09,8.748435596e-12
1.302303297e-04,1.891448668e-09,8.747951362e-12
1.414342913e-04,1.666899116e-09,8.747463431e-12
1.536021509e-04,1.495527752e-09,8.746974809e-12
1.668168345e-04,1.373096843e-09,8.746488451e-12
1.811684024e-04,1.295323160e-09,8.746007125e-12
1.967546628e-04,1.257652093e-09,8.745533287e-12
2.136818386e-04,1.255074347e-09,8.745068951e-12
2.320652914e-04,1.282019565e-09,8.744615591e-12
2.520303074e-04,1.332364552e-09,8.744174079e-12
2.737129515e-04,1.399588070e-09,8.743744668e-12
2.972609945e-04,1.477085267e-09,8.743327035e-12
3.228349202e-04,1.558620586e-09,8.742920380e-12
3.506090191e-04,1.638852040e-09,8.742523564e-12
3.807725762e-04,1.713813740e-09,8.742135276e-12
4.135311613e-04,1.781218002e-09,8.741754191e-12
4.491080293e-04,1.840456851e-09,8.741379102e-12
4.877456427e-04,1.892259464e-09,8.741008994e-12
5.297073230e-04,1.938084594e-09,8.740643068e-12
5.752790460e-04,1.979446846e-09,8.740280714e-12
6.247713906e-04,2.017420955e-09,8.739921454e-12
6.785216552e-04,2.052488188e-09,8.739564896e-12
7.368961568e-04,2.084707155e-09,8.739210694e-12
8.002927271e-04,2.114019071e-09,8.738858532e-12
8.691434243e-04,2.140463208e-09,8.738508121e-12
9.439174773e-04,2.164207162e-09,8.738159200e-12
1.025124483e-03,2.185465140e-09,8.737811535e-12
1.113317882e-03,2.204430098e-09,8.737464914e-12
1.209098725e-03,2.221266637e-09,8.737119144e-12
1.313119776e-03,2.236128323e-09,8.736774051e-12
1.426089954e-03,2.249163740e-09,8.736429473e-12
1.548779171e-03,2.260513496e-09,8.736085261e-12
1.682023573e-03,2.270308933e-09,8.735741278e-12
