ell,C_ell_over_smooth
2,0.635875030
3,0.611698155
4,0.680333005
5,0.738682388
6,0.780174116
7,0.810202122
8,0.833085571
9,0.851233209
10,0.865992297
11,0.878212493
12,0.888483460
13,0.897230950
14,0.904767437
15,0.911325890
16,0.917083159
17,0.922176050
18,0.926712031
19,0.930776667
20,0.934438993
21,0.937755210
22,0.940771553
23,0.943526472
24,0.946052095
25,0.948375503
26,0.950519762
27,0.952504534
28,0.954346690
29,0.956060877
30,0.957659807
31,0.959154518
32,0.960554725
33,0.961869017
34,0.963104938
35,0.964269157
36,0.965367660
37,0.966405805
38,0.967388343
39,0.968319536
40,0.969203269
41,0.970043055
42,0.970842039
43,0.971603068
44,0.972328760
45,0.973021517
46,0.973683515
47,0.974316722
48,0.974922958
49,0.975503917
50,0.976061155
