k_Mpc,P_R,P_t
1.000000000e-06,7.385829755e-06,9.031324041e-12
1.086031892e-06,6.482112923e-06,9.031322321e-12
1.179465270e-06,5.689001403e-06,9.031320375e-12
1.280936898e-06,4.992955473e-06,9.031318175e-12
1.391138323e-06,4.382093044e-06,9.031315687e-12
1.510820584e-06,3.845986706e-06,9.031312875e-12
1.640799337e-06,3.375485629e-06,9.031309698e-12
1.781960408e-06,2.962559269e-06,9.031306109e-12
1.935265833e-06,2.600160203e-06,9.031302057e-12
2.101760413e-06,2.282103771e-06,9.031297483e-12
2.282578837e-06,2.002962442e-06,9.031292322e-12
2.478953413e-06,1.757973122e-06,9.031286501e-12
2.692222464e-06,1.542955802e-06,9.031279939e-12
2.923839456e-06,1.354242177e-06,9.031272545e-12
3.175382895e-06,1.188612997e-06,9.031264216e-12
3.448567092e-06,1.043243088e-06,9.031254839e-12
3.745253843e-06,9.156531102e-07,9.031244288e-12
4.067465116e-06,8.036672177e-07,9.031232421e-12
4.417396834e-06,7.053759033e-07,9.031219082e-12
4.797433840e-06,6.191033925e-07,9.031204098e-12
5.210166149e-06,5.433790299e-07,9.031187274e-12
5.658406598e-06,4.769121680e-07,9.031168398e-12
6.145210022e-06,4.185701312e-07,9.031147233e-12
6.673894065e-06,3.673588771e-07,9.031123519e-12
7.248061796e-06,3.224060255e-07,9.031096968e-12
7.871626264e-06,2.829459656e-07,9.031067265e-12
8.548837162e-06,2.483067860e-07,9.031034061e-12
9.284309795e-06,2.178988053e-07,9.030996977e-12
1.008305653e-05,1.912045063e-07,9.030955596e-12
1.095052096e-05,1.677697033e-07,9.030909467e-12
1.189261499e-05,1.471957905e-07,9.030858096e-12
1.291575915e-05,1.291329389e-07,9.030800949e-12
1.402692635e-05,1.132741274e-07,9.030737448e-12
1.523368936e-05,9.934990353e-08,9.030666973e-12
1.654427247e-05,8.712378632e-08,9.030588857e-12
1.796760753e-05,7.638823233e-08,9.030502388e-12
1.951339479e-05,6.696109532e-08,9.030406809e-12
2.119216906e-05,5.868252000e-08,9.030301322e-12
2.301537145e-05,5.141221620e-08,9.030185086e-12
2.499542739e-05,4.502706738e-08,9.030057226e-12
2.714583130e-05,3.941903240e-08,9.029916834e-12
2.948123851e-05,3.449330491e-08,9.029762981e-12
3.201756523e-05,3.016669889e-08,9.029594724e-12
3.477209694e-05,2.636623285e-08,9.029411115e-12
3.776360621e-05,2.302788864e-08,9.029211224e-12
4.101248069e-05,2.009552352e-08,9.028994148e-12
4.454086199e-05,1.751991706e-08,9.028759034e-12
4.837279661e-05,1.525793658e-08,9.028505106e-12
5.253439980e-05,1.327180667e-08,9.028231684e-12
5.705403360e-05,1.152847025e-08,9.027938220e-12
6.196250004e-05,9.999029926e-09,9.027624325e-12
6.729325113e-05,8.658259543e-09,9.027289805e-12
7.308261682e-05,7.484177010e-09,9.026934692e-12
7.937005260e-05,6.457669923e-09,9.026559278e-12
8.619840837e-05,5.562166221e-09,9.026164145e-12
9.361422050e-05,4.783342337e-09,9.025750194e-12
1.016680290e-04,4.108861396e-09,9.025318659e-12
1.104147218e-04,3.528134038e-09,9.024871118e-12
1.199139092e-04,3.032094337e-09,9.024409489e-12
1.302303297e-04,2.612983368e-09,9.023936009e-12
1.414342913e-04,2.264133305e-09,9.023453194e-12
1.536021509e-04,1.979745984e-09,9.022963779e-12
1.668168345e-04,1.754661885e-09,9.022470640e-12
1.811684024e-04,1.584118948e-09,9.021976689e-12
1.967546628e-04,1.463505881e-09,9.021484761e-12
2.136818386e-04,1.388121692e-09,9.020997483e-12
2.320652914e-04,1.352961655e-09,9.020517156e-12
2.520303074e-04,1.352558432e-09,9.020045633e-12
2.737129515e-04,1.380913227e-09,9.019584238e-12
2.972609945e-04,1.431552032e-09,9.019133710e-12
3.228349202e-04,1.497731942e-09,9.018694211e-12
3.506090191e-04,1.572798836e-09,9.018265372e-12
3.807725762e-04,1.650660298e-09,9.017846399e-12
4.135311613e-04,1.726292394e-09,9.017436212e-12
4.491080293e-04,1.796160322e-09,9.017033599e-12
4.877456427e-04,1.858421869e-09,9.016637361e-12
5.297073230e-04,1.912819229e-09,9.016246420e-12
5.752790460e-04,1.960254790e-09,9.015859879e-12
6.247713906e-04,2.002166470e-09,9.015477030e-12
6.785216552e-04,2.039913197e-09,9.015097325e-12
7.368961568e-04,2.074386858e-09,9.014720329e-12
8.002927271e-04,2.105956278e-09,9.014345672e-12
8.691434243e-04,2.134672050e-09,9.013973029e-12
9.439174773e-04,2.160534094e-09,9.013602100e-12
1.025124483e-03,2.183641891e-09,9.013232617e-12
1.113317882e-03,2.204187929e-09,9.012864333e-12
1.209098725e-03,2.222383890e-09,9.012497031e-12
1.313119776e-03,2.238416686e-09,9.012130511e-12
1.426089954e-03,2.252450935e-09,9.011764594e-12
1.548779171e-03,2.264641737e-09,9.011399114e-12
1.682023573e-03,2.275136915e-09,9.011033920e-12
1.826731243e-03,2.284074794e-09,9.010668873e-12
1.983888387e-03,2.291583913e-09,9.010303844e-12
2.154566058e-03,2.297783590e-09,9.009938712e-12
2.339927452e-03,2.302784278e-09,9.009573364e-12
2.541235837e-03,2.306687953e-09,9.009207695e-12
2.759863163e-03,2.309588579e-09,9.008841607e-12
2.997299412e-03,2.311572600e-09,9.008475005e-12
3.255162750e-03,2.312719503e-09,9.008107804e-12
3.535210559e-03,2.313102435e-09,9.007739922e-12
3.839351411e-03,2.312788930e-09,9.007371286e-12
4.169658076e-03,2.311841733e-09,9.007001831e-12
4.528381648e-03,2.310319700e-09,9.006631500e-12
4.917966887e-03,2.308278584e-09,9.006260247e-12
5.341068882e-03,2.305771404e-09,9.005888037e-12
5.800571141e-03,2.302848058e-09,9.005514846e-12
6.299605249e-03,2.299554149e-09,9.005140661e-12
6.841572206e-03,2.295929646e-09,9.004765477e-12
7.430165605e-03,2.292008276e-09,9.004389294e-12
8.069396808e-03,2.287818106e-09,9.004012117e-12
8.763622280e-03,2.283382927e-09,9.003633950e-12
9.517573283e-03,2.278723709e-09,9.003254796e-12
1.033638812e-02,2.273859615e-09,9.002874655e-12
1.122564714e-02,2.268808527e-09,9.002493524e-12
1.219141080e-02,2.263587242e-09,9.002111396e-12
1.324026093e-02,2.258211498e-09,9.001728265e-12
1.437934563e-02,2.252695960e-09,9.001344118e-12
1.561642793e-02,2.247054211e-09,9.000958943e-12
1.695993877e-02,2.241298767e-09,9.000572729e-12
1.841903438e-02,2.235441109e-09,9.000185460e-12
2.000365875e-02,2.229491736e-09,8.999797123e-12
2.172461136e-02,2.223460227e-09,8.999407703e-12
2.359362077e-02,2.217355301e-09,8.999017188e-12
2.562342460e-02,2.211184890e-09,8.998625563e-12
2.782785629e-02,2.204956198e-09,8.998232815e-12
3.022193940e-02,2.198675763e-09,8.997838933e-12
3.282199002e-02,2.192349519e-09,8.997443903e-12
3.564572791e-02,2.185982843e-09,8.997047714e-12
3.871239731e-02,2.179580610e-09,8.996650354e-12
4.204289809e-02,2.173147239e-09,8.996251813e-12
4.565992814e-02,2.166686731e-09,8.995852080e-12
4.958813813e-02,2.160202710e-09,8.995451145e-12
5.385429946e-02,2.153698455e-09,8.995048999e-12
5.848748672e-02,2.147176939e-09,8.994645631e-12
6.351927584e-02,2.140640847e-09,8.994241034e-12
6.898395930e-02,2.134092614e-09,8.993835197e-12
7.491877982e-02,2.127534440e-09,8.993428113e-12
8.136418417e-02,2.120968314e-09,8.993019772e-12
8.836409885e-02,2.114396039e-09,8.992610167e-12
9.596622943e-02,2.107819241e-09,8.992199290e-12
1.042223857e-01,2.101239393e-09,8.991787133e-12
1.131888347e-01,2.094657825e-09,8.991373687e-12
1.229266843e-01,2.088075740e-09,8.990958945e-12
1.335022994e-01,2.081494225e-09,8.990542900e-12
1.449877548e-01,2.074914261e-09,8.990125545e-12
1.574613256e-01,2.068336737e-09,8.989706870e-12
1.710080213e-01,2.061762453e-09,8.989286870e-12
1.857201649e-01,2.055192132e-09,8.988865538e-12
2.016980220e-01,2.048626428e-09,8.988442864e-12
2.190504844e-01,2.042065932e-09,8.988018844e-12
2.378958120e-01,2.035511175e-09,8.987593468e-12
2.583624387e-01,2.028962638e-09,8.987166731e-12
2.805898480e-01,2.022420756e-09,8.986738624e-12
3.047295234e-01,2.015885918e-09,8.986309142e-12
3.309459808e-01,2.009358478e-09,8.985878276e-12
3.594178896e-01,2.002838754e-09,8.985446019e-12
3.903392905e-01,1.996327034e-09,8.985012364e-12
4.239209181e-01,1.989823576e-09,8.984577305e-12
4.603916366e-01,1.983328614e-09,8.984140834e-12
5.000000000e-01,1.976842357e-09,8.983702943e-12
