k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,2.262649344e+03,9.981944294e-01
2.172063783e-05,1.992063213e+03,9.982383377e-01
2.358930540e-05,1.753844665e+03,9.982822231e-01
2.561873796e-05,1.544121038e+03,9.983260822e-01
2.782276645e-05,1.359483071e+03,9.983699114e-01
3.021641168e-05,1.196929442e+03,9.984137067e-01
3.281598674e-05,1.053817962e+03,9.984574636e-01
3.563920816e-05,9.278225911e+02,9.985011769e-01
3.870531665e-05,8.168956135e+02,9.985448408e-01
4.203520826e-05,7.192343286e+02,9.985884490e-01
4.565157675e-05,6.332517332e+02,9.986319942e-01
4.957906825e-05,5.575507110e+02,9.986754684e-01
5.384444928e-05,4.909013101e+02,9.987188624e-01
5.847678911e-05,4.322207403e+02,9.987621663e-01
6.350765790e-05,3.805557638e+02,9.988053687e-01
6.897134185e-05,3.350671929e+02,9.988484570e-01
7.490507686e-05,2.950162432e+02,9.988914174e-01
8.134930232e-05,2.597525195e+02,9.989342340e-01
8.834793668e-05,2.287034399e+02,9.989768897e-01
9.594867680e-05,2.013649243e+02,9.990193651e-01
1.042033230e-04,1.772931987e+02,9.990616389e-01
1.131681320e-04,1.560975787e+02,9.991036875e-01
1.229042004e-04,1.374341180e+02,9.991454846e-01
1.334778813e-04,1.210000156e+02,9.991870013e-01
1.449612359e-04,1.065286931e+02,9.992282060e-01
1.574325253e-04,9.378546098e+01,9.992690634e-01
1.709767432e-04,8.256370286e+01,9.993095352e-01
1.856861959e-04,7.268151723e+01,9.993495793e-01
2.016611306e-04,6.397876036e+01,9.993891495e-01
2.190104191e-04,5.631444342e+01,9.994281958e-01
2.378522998e-04,4.956444092e+01,9.994666633e-01
2.583151831e-04,4.361947347e+01,9.995044931e-01
2.805385269e-04,3.838333188e+01,9.995416210e-01
3.046737871e-04,3.377131389e+01,9.995779783e-01
3.308854494e-04,2.970884794e+01,9.996134910e-01
3.593521505e-04,2.613028171e+01,9.996480803e-01
3.902678958e-04,2.297781575e+01,9.996816622e-01
4.238433811e-04,2.020056474e+01,9.997141482e-01
4.603074290e-04,1.775373131e+01,9.997454452e-01
4.999085479e-04,1.559787882e+01,9.997754560e-01
5.429166259e-04,1.369829143e+01,9.998040799e-01
5.896247703e-04,1.202441097e+01,9.998312139e-01
6.403513047e-04,1.054934157e+01,9.998567533e-01
6.954419387e-04,9.249413835e+00,9.998805932e-01
7.552721243e-04,8.103801796e+00,9.999026300e-01
8.202496139e-04,7.094186091e+00,9.999227636e-01
8.908172398e-04,6.204458152e+00,9.999408994e-01
9.674559321e-04,5.420460466e+00,9.999569510e-01
1.050687996e-03,4.729758698e+00,9.999708430e-01
1.141080672e-03,4.121441912e+00,9.999825143e-01
1.239250001e-03,3.585947526e+00,9.999919216e-01
1.345865023e-03,3.114908000e+00,9.999990429e-01
1.461652336e-03,2.701016496e+00,1.000003882e+00
1.587401052e-03,2.337908935e+00,1.000006470e+00
1.723968167e-03,2.020060020e+00,1.000006872e+00
1.872284410e-03,1.742690789e+00,1.000005187e+00
2.033360580e-03,1.501685286e+00,1.000001551e+00
2.208294437e-03,1.293513817e+00,9.999961399e-01
2.398278185e-03,1.115160216e+00,9.999891651e-01
2.604606594e-03,9.640504585e-01,9.999808745e-01
2.828685826e-03,8.379800420e-01,9.999715466e-01
3.072043019e-03,7.350378695e-01,9.999614847e-01
3.336336691e-03,6.535250641e-01,9.999510071e-01
3.623368048e-03,5.918684046e-01,9.999404367e-01
3.935093255e-03,5.485300218e-01,9.999300875e-01
4.273636772e-03,5.219177090e-01,9.999202511e-01
4.641305828e-03,5.103034947e-01,9.999111822e-01
5.040606148e-03,5.117615492e-01,9.999030866e-01
5.474259030e-03,5.241391108e-01,9.998961109e-01
5.945219890e-03,5.450745163e-01,9.998903376e-01
6.456698404e-03,5.720729252e-01,9.998857845e-01
7.012180381e-03,6.026415110e-01,9.998824110e-01
7.615451524e-03,6.344715195e-01,9.998801291e-01
8.270623225e-03,6.656368324e-01,9.998788193e-01
8.982160587e-03,6.947629469e-01,9.998783474e-01
9.754912854e-03,7.211148177e-01,9.998785804e-01
1.059414646e-02,7.445649760e-01,9.998793988e-01
1.150558092e-02,7.654375438e-01,9.998807034e-01
1.249542781e-02,7.842706857e-01,9.998824156e-01
1.357043310e-02,8.015784777e-01,9.998844747e-01
1.473792314e-02,8.176975089e-01,9.998868324e-01
1.600585454e-02,8.327618761e-01,9.998894480e-01
1.738286849e-02,8.467812054e-01,9.998922851e-01
1.887834955e-02,8.597451457e-01,9.998953108e-01
2.050248967e-02,8.716830231e-01,9.998984951e-01
2.226635764e-02,8.826618418e-01,9.999018108e-01
2.418197451e-02,8.927572273e-01,9.999052338e-01
2.626239552e-02,9.020358352e-01,9.999087419e-01
2.852179909e-02,9.105562045e-01,9.999123153e-01
3.097558342e-02,9.183738046e-01,9.999159355e-01
3.364047145e-02,9.255418898e-01,9.999195859e-01
3.653462485e-02,9.321105547e-01,9.999232509e-01
3.967776774e-02,9.381265593e-01,9.999269163e-01
4.309132116e-02,9.436335037e-01,9.999305686e-01
4.679854903e-02,9.486719206e-01,9.999341953e-01
5.082471673e-02,9.532793824e-01,9.999377848e-01
5.519726326e-02,9.574906416e-01,9.999413261e-01
5.994598823e-02,9.613377901e-01,9.999448088e-01
6.510325500e-02,9.648504450e-01,9.999482232e-01
7.070421118e-02,9.680559676e-01,9.999515605e-01
7.678702822e-02,9.709797274e-01,9.999548124e-01
8.339316151e-02,9.736454172e-01,9.999579717e-01
9.056763295e-02,9.760754018e-01,9.999610320e-01
9.835933774e-02,9.782910291e-01,9.999639884e-01
1.068213776e-01,9.803127692e-01,9.999668367e-01
1.160114228e-01,9.821600317e-01,9.999695745e-01
1.259921050e-01,9.838506466e-01,9.999722001e-01
1.368314441e-01,9.854002604e-01,9.999747130e-01
1.486033121e-01,9.868220394e-01,9.999771134e-01
1.613879362e-01,9.881268799e-01,9.999794016e-01
1.752724456e-01,9.893239718e-01,9.999815781e-01
1.903514657e-01,9.904214009e-01,9.999836431e-01
2.067277623e-01,9.914265738e-01,9.999855968e-01
2.245129428e-01,9.923464372e-01,9.999874388e-01
2.438282160e-01,9.931875538e-01,9.999891683e-01
2.648052186e-01,9.939561091e-01,9.999907844e-01
2.875869125e-01,9.946578972e-01,9.999922859e-01
3.123285586e-01,9.952983109e-01,9.999936714e-01
3.391987754e-01,9.958823402e-01,9.999949396e-01
3.683806877e-01,9.964145811e-01,9.999960887e-01
4.000731751e-01,9.968992517e-01,9.999971173e-01
4.344922272e-01,9.973402130e-01,9.999980238e-01
4.718724154e-01,9.977409922e-01,9.999988067e-01
5.124684919e-01,9.981048069e-01,9.999994644e-01
5.565571257e-01,9.984345883e-01,9.999999954e-01
6.044387881e-01,9.987330051e-01,1.000000398e+00
6.564398004e-01,9.990024851e-01,1.000000672e+00
7.129145582e-01,9.992452353e-01,1.000000815e+00
7.742479463e-01,9.994632617e-01,1.000000825e+00
8.408579617e-01,9.996583863e-01,1.000000703e+00
9.131985628e-01,9.998322637e-01,1.000000446e+00
9.917627627e-01,9.999863958e-01,1.000000053e+00
1.077085989e+00,1.000122145e+00,9.999995238e-01
1.169749734e+00,1.000240749e+00,9.999988567e-01
1.270385517e+00,1.000343327e+00,9.999980509e-01
1.379679186e+00,1.000430898e+00,9.999971053e-01
1.498375596e+00,1.000504380e+00,9.999960189e-01
1.627283683e+00,1.000564610e+00,9.999947908e-01
1.767281977e+00,1.000612343e+00,9.999934200e-01
1.919324589e+00,1.000648263e+00,9.999919057e-01
2.084447714e+00,1.000672990e+00,9.999902469e-01
2.263776694e+00,1.000687083e+00,9.999884427e-01
2.458533685e+00,1.000691049e+00,9.999864923e-01
2.670045989e+00,1.000685345e+00,9.999843948e-01
2.899755096e+00,1.000670386e+00,9.999821493e-01
3.149226512e+00,1.000646543e+00,9.999797551e-01
3.420160427e+00,1.000614154e+00,9.999772112e-01
3.714403298e+00,1.000573522e+00,9.999745168e-01
4.033960440e+00,1.000524921e+00,9.999716712e-01
4.381009688e+00,1.000468597e+00,9.999686734e-01
4.757916239e+00,1.000404772e+00,9.999655227e-01
5.167248774e+00,1.000333644e+00,9.999622182e-01
5.611796960e+00,1.000255392e+00,9.999587591e-01
6.094590469e+00,1.000170177e+00,9.999551447e-01
6.618919616e+00,1.000078142e+00,9.999513740e-01
7.188357791e+00,9.999794149e-01,9.999474463e-01
7.806785810e+00,9.998741109e-01,9.999433607e-01
8.478418362e+00,9.997623322e-01,9.999391164e-01
9.207832732e+00,9.996441694e-01,9.999347127e-01
1.000000000e+01,9.995197033e-01,9.999301486e-01
