ell,C_ell_over_smooth
2,0.748038634
3,0.822726777
4,0.866060150
5,0.892469600
6,0.910234145
7,0.922996708
8,0.932602252
9,0.940088465
10,0.946083659
11,0.950990463
12,0.955078790
13,0.958536326
14,0.961497626
15,0.964061669
16,0.966302866
17,0.968278262
18,0.970032306
19,0.971600144
20,0.973009953
21,0.974284557
22,0.975442647
23,0.976499687
24,0.977468547
25,0.978360025
26,0.979183266
27,0.979946022
28,0.980654908
29,0.981315624
30,0.981933081
31,0.982511516
32,0.983054629
33,0.983565664
34,0.984047455
35,0.984502492
36,0.984932997
37,0.985340948
38,0.985728094
39,0.986096001
40,0.986446092
41,0.986779652
42,0.987097831
43,0.987401668
44,0.987692123
45,0.987970076
46,0.988236321
47,0.988491582
48,0.988736526
49,0.988971779
50,0.989197914
