k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,5.191221285e+02,9.985641766e-01
2.172063783e-05,4.570924381e+02,9.986075254e-01
2.358930540e-05,4.024760524e+02,9.986507819e-01
2.561873796e-05,3.543865483e+02,9.986939347e-01
2.782276645e-05,3.120435163e+02,9.987369711e-01
3.021641168e-05,2.747598803e+02,9.987798766e-01
3.281598674e-05,2.419307339e+02,9.988226355e-01
3.563920816e-05,2.130235122e+02,9.988652302e-01
3.870531665e-05,1.875693393e+02,9.989076409e-01
4.203520826e-05,1.651554108e+02,9.989498462e-01
4.565157675e-05,1.454182873e+02,9.989918219e-01
4.957906825e-05,1.280379900e+02,9.990335415e-01
5.384444928e-05,1.127328031e+02,9.990749758e-01
5.847678911e-05,9.925469725e+01,9.991160925e-01
6.350765790e-05,8.738530093e+01,9.991568562e-01
6.897134185e-05,7.693235339e+01,9.991972281e-01
7.490507686e-05,6.772658203e+01,9.992371656e-01
8.134930232e-05,5.961895328e+01,9.992766223e-01
8.834793668e-05,5.247825225e+01,9.993155477e-01
9.594867680e-05,4.618895203e+01,9.993538869e-01
1.042033230e-04,4.064933778e+01,9.993915803e-01
1.131681320e-04,3.576985521e+01,9.994285640e-01
1.229042004e-04,3.147165680e+01,9.994647691e-01
1.334778813e-04,2.768532179e+01,9.995001216e-01
1.449612359e-04,2.434972945e+01,9.995345431e-01
1.574325253e-04,2.141106723e+01,9.995679501e-01
1.709767432e-04,1.882195761e+01,9.996002550e-01
1.856861959e-04,1.654068956e+01,9.996313656e-01
2.016611306e-04,1.453054219e+01,9.996611863e-01
2.190104191e-04,1.275918939e+01,9.996896185e-01
2.378522998e-04,1.119817614e+01,9.997165615e-01
2.583151831e-04,9.822457643e+00,9.997419138e-01
2.805385269e-04,8.609994124e+00,9.997655742e-01
3.046737871e-04,7.541394514e+00,9.997874439e-01
3.308854494e-04,6.599603351e+00,9.998074281e-01
3.593521505e-04,5.769625782e+00,9.998254385e-01
3.902678958e-04,5.038286186e+00,9.998413962e-01
4.238433811e-04,4.394016467e+00,9.998552341e-01
4.603074290e-04,3.826670494e+00,9.998669007e-01
4.999085479e-04,3.327361553e+00,9.998763630e-01
5.429166259e-04,2.888319957e+00,9.998836109e-01
5.896247703e-04,2.502768195e+00,9.998886597e-01
6.403513047e-04,2.164811152e+00,9.998915546e-01
6.954419387e-04,1.869338999e+00,9.998923730e-01
7.552721243e-04,1.611940386e+00,9.998912274e-01
8.202496139e-04,1.388823487e+00,9.998882669e-01
8.908172398e-04,1.196742398e+00,9.998836774e-01
9.674559321e-04,1.032926281e+00,9.998776803e-01
1.050687996e-03,8.950086399e-01,9.998705297e-01
1.141080672e-03,7.809543089e-01,9.998625070e-01
1.239250001e-03,6.889821329e-01,9.998539137e-01
1.345865023e-03,6.174823059e-01,9.998450614e-01
1.461652336e-03,5.649288308e-01,9.998362602e-01
1.587401052e-03,5.297898510e-01,9.998278059e-01
1.723968167e-03,5.104415770e-01,9.998199661e-01
1.872284410e-03,5.050949268e-01,9.998129674e-01
2.033360580e-03,5.117471582e-01,9.998069839e-01
2.208294437e-03,5.281725553e-01,9.998021298e-01
2.398278185e-03,5.519650927e-01,9.997984564e-01
2.604606594e-03,5.806402967e-01,9.997959545e-01
2.828685826e-03,6.117922483e-01,9.997945626e-01
3.072043019e-03,6.432855322e-01,9.997941800e-01
3.336336691e-03,6.734444502e-01,9.997946826e-01
3.623368048e-03,7.011897880e-01,9.997959397e-01
3.935093255e-03,7.260754376e-01,9.997978273e-01
4.273636772e-03,7.481996555e-01,9.998002383e-01
4.641305828e-03,7.680069769e-01,9.998030858e-01
5.040606148e-03,7.860424633e-01,9.998063021e-01
5.474259030e-03,8.027454609e-01,9.998098345e-01
5.945219890e-03,8.183537604e-01,9.998136399e-01
6.456698404e-03,8.329315643e-01,9.998176811e-01
7.012180381e-03,8.464684689e-01,9.998219243e-01
7.615451524e-03,8.589686350e-01,9.998263391e-01
8.270623225e-03,8.704805446e-01,9.998308975e-01
8.982160587e-03,8.810774568e-01,9.998355746e-01
9.754912854e-03,8.908307933e-01,9.998403480e-01
1.059414646e-02,8.998020384e-01,9.998451972e-01
1.150558092e-02,9.080472462e-01,9.998501037e-01
1.249542781e-02,9.156203256e-01,9.998550504e-01
1.357043310e-02,9.225725687e-01,9.998600218e-01
1.473792314e-02,9.289519829e-01,9.998650032e-01
1.600585454e-02,9.348033755e-01,9.998699813e-01
1.738286849e-02,9.401684883e-01,9.998749435e-01
1.887834955e-02,9.450860824e-01,9.998798782e-01
