k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,8.838734747e+02,9.982113198e-01
2.283470205e-05,7.204769723e+02,9.982792067e-01
2.607118088e-05,5.872958803e+02,9.983469459e-01
2.976638238e-05,4.787402062e+02,9.984145064e-01
3.398532364e-05,3.902543481e+02,9.984818512e-01
3.880223696e-05,3.181256671e+02,9.985489361e-01
4.430187600e-05,2.593284878e+02,9.986157092e-01
5.058100693e-05,2.113969704e+02,9.986821087e-01
5.775011113e-05,1.723215107e+02,9.987480621e-01
6.593532905e-05,1.404643127e+02,9.988134843e-01
7.528067967e-05,1.144905877e+02,9.988782762e-01
8.595059452e-05,9.331248502e+01,9.989423223e-01
9.813281084e-05,7.604340011e+01,9.990054895e-01
1.120416748e-04,6.196073922e+01,9.990676249e-01
1.279219131e-04,5.047557509e+01,9.991285543e-01
1.460529386e-04,4.110791926e+01,9.991880807e-01
1.667537668e-04,3.346657156e+01,9.992459838e-01
1.903886290e-04,2.723270026e+01,9.993020195e-01
2.173733808e-04,2.214646305e+01,9.993559213e-01
2.481828193e-04,1.799610694e+01,9.994074023e-01
2.833590366e-04,1.460908941e+01,9.994561603e-01
3.235209587e-04,1.184484801e+01,9.995018841e-01
3.693752349e-04,9.588914901e+00,9.995442632e-01
4.217286717e-04,7.748129048e+00,9.995830010e-01
4.815024282e-04,6.246744374e+00,9.996178314e-01
5.497482242e-04,5.023268737e+00,9.996485383e-01
6.276668450e-04,4.027897496e+00,9.996749791e-01
7.166292697e-04,3.220427416e+00,9.996971088e-01
8.182007926e-04,2.568552454e+00,9.997150043e-01
9.341685658e-04,2.046453186e+00,9.997288849e-01
1.066573043e-03,1.633597455e+00,9.997391240e-01
1.217743883e-03,1.313673726e+00,9.997462492e-01
1.390340937e-03,1.073585590e+00,9.997509230e-01
1.587401052e-03,9.024540923e-01,9.997539029e-01
1.812391503e-03,7.906149403e-01,9.997559806e-01
2.069270998e-03,7.286688615e-01,9.997579043e-01
2.362559335e-03,7.067406131e-01,9.997602987e-01
2.697416925e-03,7.141891467e-01,9.997635991e-01
3.079735589e-03,7.400090509e-01,9.997680190e-01
3.516242228e-03,7.739730345e-01,9.997735648e-01
4.014617181e-03,8.081622398e-01,9.997800935e-01
4.583629358e-03,8.381050300e-01,9.997873930e-01
5.233290535e-03,8.627212706e-01,9.997952538e-01
5.975031505e-03,8.829685460e-01,9.998035070e-01
6.821903208e-03,9.001199283e-01,9.998120285e-01
7.788806358e-03,9.148706053e-01,9.998207244e-01
8.892753625e-03,9.274865222e-01,9.998295188e-01
1.015316897e-02,9.381940815e-01,9.998383480e-01
1.159222942e-02,9.472587842e-01,9.998471585e-01
1.323525524e-02,9.549235118e-01,9.998559051e-01
1.511115550e-02,9.613975092e-01,9.998645489e-01
1.725293667e-02,9.668628533e-01,9.998730563e-01
1.969828342e-02,9.714762900e-01,9.998813977e-01
2.249022164e-02,9.753716116e-01,9.998895466e-01
2.567787551e-02,9.786623165e-01,9.998974792e-01
2.931733182e-02,9.814443252e-01,9.999051737e-01
3.347262685e-02,9.837987963e-01,9.999126109e-01
3.821687305e-02,9.857951162e-01,9.999197743e-01
4.363354547e-02,9.874939058e-01,9.999266505e-01
4.981795051e-02,9.889491648e-01,9.999332301e-01
5.687890283e-02,9.902081507e-01,9.999395081e-01
6.494063995e-02,9.913091715e-01,9.999454830e-01
7.414500820e-02,9.922803695e-01,9.999511558e-01
8.465395854e-02,9.931416552e-01,9.999565286e-01
9.665239603e-02,9.939080537e-01,9.999616028e-01
1.103514333e-01,9.945920568e-01,9.999663793e-01
1.259921050e-01,9.952045831e-01,9.999708574e-01
1.438496089e-01,9.957552166e-01,9.999750356e-01
1.642381480e-01,9.962522584e-01,9.999789118e-01
1.875164587e-01,9.967027906e-01,9.999824830e-01
2.140941232e-01,9.971127825e-01,9.999857464e-01
2.444387757e-01,9.974872216e-01,9.999886987e-01
2.790843306e-01,9.978302487e-01,9.999913367e-01
3.186403768e-01,9.981452865e-01,9.999936572e-01
3.638029032e-01,9.984351538e-01,9.999956570e-01
4.153665450e-01,9.987021657e-01,9.999973330e-01
4.742385648e-01,9.989482184e-01,9.999986822e-01
5.414548164e-01,9.991748612e-01,9.999997016e-01
6.181979703e-01,9.993833565e-01,1.000000388e+00
7.058183230e-01,9.995747300e-01,1.000000739e+00
8.058575553e-01,9.997498118e-01,1.000000752e+00
9.200758585e-01,9.999092716e-01,1.000000423e+00
1.050482905e+00,1.000053646e+00,9.999997500e-01
1.199373207e+00,1.000183364e+00,9.999987301e-01
1.369366491e+00,1.000298764e+00,9.999973606e-01
1.563453791e+00,1.000400111e+00,9.999956385e-01
1.785050074e+00,1.000487609e+00,9.999935612e-01
2.038054330e+00,1.000561415e+00,9.999911258e-01
2.326918169e+00,1.000621642e+00,9.999883295e-01
2.656724154e+00,1.000668372e+00,9.999851695e-01
3.033275224e+00,1.000701659e+00,9.999816429e-01
3.463196799e+00,1.000721536e+00,9.999777469e-01
3.954053352e+00,1.000728014e+00,9.999734786e-01
4.514481509e+00,1.000721093e+00,9.999688351e-01
5.154342008e+00,1.000700759e+00,9.999638135e-01
5.884893201e+00,1.000666989e+00,9.999584107e-01
6.718989142e+00,1.000619749e+00,9.999526239e-01
7.671305757e+00,1.000559003e+00,9.999464499e-01
8.758599064e+00,1.000484706e+00,9.999398859e-01
1.000000000e+01,1.000396809e+00,9.999329286e-01
