k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,1.045988194e+02,9.990666897e-01
2.172063783e-05,9.208781200e+01,9.991061322e-01
2.358930540e-05,8.107061983e+01,9.991452200e-01
2.561873796e-05,7.136864673e+01,9.991839141e-01
2.782276645e-05,6.282465858e+01,9.992221718e-01
3.021641168e-05,5.530022775e+01,9.992599466e-01
3.281598674e-05,4.867348326e+01,9.992971877e-01
3.563920816e-05,4.283713023e+01,9.993338401e-01
3.870531665e-05,3.769670629e+01,9.993698442e-01
4.203520826e-05,3.316904666e+01,9.994051357e-01
4.565157675e-05,2.918093296e+01,9.994396455e-01
4.957906825e-05,2.566790377e+01,9.994732999e-01
5.384444928e-05,2.257320748e+01,9.995060199e-01
5.847678911e-05,1.984688068e+01,9.995377224e-01
6.350765790e-05,1.744493685e+01,9.995683194e-01
6.897134185e-05,1.532865226e+01,9.995977190e-01
7.490507686e-05,1.346393756e+01,9.996258257e-01
8.134930232e-05,1.182078478e+01,9.996525410e-01
8.834793668e-05,1.037278069e+01,9.996777648e-01
9.594867680e-05,9.096678869e+00,9.997013960e-01
1.042033230e-04,7.972023245e+00,9.997233343e-01
1.131681320e-04,6.980817242e+00,9.997434816e-01
1.229042004e-04,6.107233046e+00,9.997617446e-01
1.334778813e-04,5.337356308e+00,9.997780367e-01
1.449612359e-04,4.658962126e+00,9.997922808e-01
1.574325253e-04,4.061318625e+00,9.998044125e-01
1.709767432e-04,3.535014887e+00,9.998143831e-01
1.856861959e-04,3.071810302e+00,9.998221635e-01
2.016611306e-04,2.664502716e+00,9.998277475e-01
2.190104191e-04,2.306812924e+00,9.998311558e-01
2.378522998e-04,1.993283228e+00,9.998324392e-01
2.583151831e-04,1.719187797e+00,9.998316818e-01
2.805385269e-04,1.480452613e+00,9.998290035e-01
3.046737871e-04,1.273582678e+00,9.998245617e-01
3.308854494e-04,1.095594065e+00,9.998185512e-01
3.593521505e-04,9.439482973e-01,9.998112030e-01
3.902678958e-04,8.164864900e-01,9.998027813e-01
4.238433811e-04,7.113607897e-01,9.997935777e-01
4.603074290e-04,6.269610790e-01,9.997839034e-01
4.999085479e-04,5.618357627e-01,9.997740793e-01
5.429166259e-04,5.146069405e-01,9.997644237e-01
5.896247703e-04,4.838825230e-01,9.997552385e-01
6.403513047e-04,4.681708357e-01,9.997467956e-01
6.954419387e-04,4.658067511e-01,9.997393226e-01
7.552721243e-04,4.749017340e-01,9.997329920e-01
8.202496139e-04,4.933322512e-01,9.997279127e-01
8.908172398e-04,5.187801716e-01,9.997241279e-01
9.674559321e-04,5.488333242e-01,9.997216175e-01
1.050687996e-03,5.811431142e-01,9.997203074e-01
1.141080672e-03,6.136195338e-01,9.997200836e-01
1.239250001e-03,6.446255304e-01,9.997208091e-01
1.345865023e-03,6.731194671e-01,9.997223417e-01
1.461652336e-03,6.986954660e-01,9.997245485e-01
1.587401052e-03,7.214939900e-01,9.997273158e-01
1.723968167e-03,7.419979560e-01,9.997305528e-01
1.872284410e-03,7.607783358e-01,9.997341896e-01
2.033360580e-03,7.782813688e-01,9.997381722e-01
2.208294437e-03,7.947331609e-01,9.997424568e-01
2.398278185e-03,8.101760336e-01,9.997470052e-01
2.604606594e-03,8.245790798e-01,9.997517829e-01
2.828685826e-03,8.379347189e-01,9.997567583e-01
3.072043019e-03,8.502878942e-01,9.997619027e-01
3.336336691e-03,8.617111867e-01,9.997671904e-01
3.623368048e-03,8.722742634e-01,9.997725981e-01
3.935093255e-03,8.820357504e-01,9.997781048e-01
4.273636772e-03,8.910492222e-01,9.997836912e-01
4.641305828e-03,8.993669451e-01,9.997893397e-01
5.040606148e-03,9.070390488e-01,9.997950342e-01
5.474259030e-03,9.141126715e-01,9.998007596e-01
5.945219890e-03,9.206320542e-01,9.998065019e-01
6.456698404e-03,9.266386477e-01,9.998122482e-01
7.012180381e-03,9.321711508e-01,9.998179862e-01
7.615451524e-03,9.372655979e-01,9.998237045e-01
8.270623225e-03,9.419554728e-01,9.998293923e-01
8.982160587e-03,9.462718471e-01,9.998350396e-01
