k_Mpc,P_R,P_t
1.000000000e-06,3.473023081e-07,8.689234274e-12
1.086031892e-06,3.047995798e-07,8.689208459e-12
1.179465270e-06,2.674899209e-07,8.689179587e-12
1.280936898e-06,2.347380951e-07,8.689147324e-12
1.391138323e-06,2.059866067e-07,8.689111304e-12
1.510820584e-06,1.807461850e-07,8.689071127e-12
1.640799337e-06,1.585874331e-07,8.689026357e-12
1.781960408e-06,1.391334998e-07,8.688976520e-12
1.935265833e-06,1.220536485e-07,8.688921105e-12
2.101760413e-06,1.070576133e-07,8.688859559e-12
2.282578837e-06,9.389064664e-08,8.688791287e-12
2.478953413e-06,8.232917304e-08,8.688715655e-12
2.692222464e-06,7.217697520e-08,8.688631983e-12
2.923839456e-06,6.326184732e-08,8.688539554e-12
3.175382895e-06,5.543265848e-08,8.688437609e-12
3.448567092e-06,4.855677591e-08,8.688325355e-12
3.745253843e-06,4.251780419e-08,8.688201968e-12
4.067465116e-06,3.721360193e-08,8.688066596e-12
4.417396834e-06,3.255454198e-08,8.687918371e-12
4.797433840e-06,2.846198558e-08,8.687756417e-12
5.210166149e-06,2.486694436e-08,8.687579862e-12
5.658406598e-06,2.170890761e-08,8.687387853e-12
6.145210022e-06,1.893481447e-08,8.687179575e-12
6.673894065e-06,1.649815392e-08,8.686954266e-12
7.248061796e-06,1.435817676e-08,8.686711249e-12
7.871626264e-06,1.247920630e-08,8.686449950e-12
8.548837162e-06,1.083003577e-08,8.686169928e-12
9.284309795e-06,9.383401597e-09,8.685870909e-12
1.008305653e-05,8.115523249e-09,8.685552815e-12
1.095052096e-05,7.005700850e-09,8.685215794e-12
1.189261499e-05,6.035962511e-09,8.684860256e-12
1.291575915e-05,5.190753731e-09,8.684486893e-12
1.402692635e-05,4.456661426e-09,8.684096709e-12
1.523368936e-05,3.822165089e-09,8.683691029e-12
1.654427247e-05,3.277407513e-09,8.683271505e-12
1.796760753e-05,2.813977355e-09,8.682840106e-12
1.951339479e-05,2.424695825e-09,8.682399092e-12
2.119216906e-05,2.103400253e-09,8.681950969e-12
2.301537145e-05,1.844718507e-09,8.681498422e-12
2.499542739e-05,1.643830678e-09,8.681044233e-12
2.714583130e-05,1.496218571e-09,8.680591175e-12
2.948123851e-05,1.397409675e-09,8.680141896e-12
3.201756523e-05,1.342730441e-09,8.679698795e-12
3.477209694e-05,1.327093151e-09,8.679263905e-12
3.776360621e-05,1.344849786e-09,8.678838787e-12
4.101248069e-05,1.389751996e-09,8.678424463e-12
4.454086199e-05,1.455054298e-09,8.678021377e-12
