k_Mpc,P_R,P_t
4.917966887e-03,2.334951443e-09,8.725678653e-12
5.341068882e-03,2.329580516e-09,8.725330143e-12
5.800571141e-03,2.324075019e-09,8.724980752e-12
6.299605249e-03,2.318447782e-09,8.724630465e-12
6.841572206e-03,2.312710567e-09,8.724279269e-12
7.430165605e-03,2.306874134e-09,8.723927149e-12
8.069396808e-03,2.300948320e-09,8.723574092e-12
8.763622280e-03,2.294942101e-09,8.723220084e-12
9.517573283e-03,2.288863668e-09,8.722865112e-12
1.033638812e-02,2.282720488e-09,8.722509165e-12
1.122564714e-02,2.276519365e-09,8.722152230e-12
1.219141080e-02,2.270266500e-09,8.721794297e-12
1.324026093e-02,2.263967537e-09,8.721435354e-12
1.437934563e-02,2.257627615e-09,8.721075393e-12
1.561642793e-02,2.251251415e-09,8.720714402e-12
1.695993877e-02,2.244843192e-09,8.720352373e-12
1.841903438e-02,2.238406823e-09,8.719989296e-12
2.000365875e-02,2.231945830e-09,8.719625163e-12
2.172461136e-02,2.225463421e-09,8.719259966e-12
2.359362077e-02,2.218962510e-09,8.718893696e-12
2.562342460e-02,2.212445749e-09,8.718526346e-12
2.782785629e-02,2.205915547e-09,8.718157907e-12
3.022193940e-02,2.199374096e-09,8.717788373e-12
3.282199002e-02,2.192823388e-09,8.717417737e-12
3.564572791e-02,2.186265231e-09,8.717045991e-12
3.871239731e-02,2.179701269e-09,8.716673128e-12
4.204289809e-02,2.173132997e-09,8.716299142e-12
4.565992814e-02,2.166561771e-09,8.715924026e-12
4.958813813e-02,2.159988823e-09,8.715547773e-12
5.385429946e-02,2.153415272e-09,8.715170377e-12
5.848748672e-02,2.146842135e-09,8.714791831e-12
6.351927584e-02,2.140270332e-09,8.714412129e-12
6.898395930e-02,2.133700701e-09,8.714031265e-12
7.491877982e-02,2.127134002e-09,8.713649232e-12
8.136418417e-02,2.120570924e-09,8.713266025e-12
8.836409885e-02,2.114012092e-09,8.712881637e-12
9.596622943e-02,2.107458073e-09,8.712496061e-12
1.042223857e-01,2.100909383e-09,8.712109293e-12
1.131888347e-01,2.094366487e-09,8.711721325e-12
1.229266843e-01,2.087829808e-09,8.711332151e-12
1.335022994e-01,2.081299730e-09,8.710941766e-12
1.449877548e-01,2.074776601e-09,8.710550163e-12
1.574613256e-01,2.068260735e-09,8.710157336e-12
1.710080213e-01,2.061752418e-09,8.709763279e-12
1.857201649e-01,2.055251909e-09,8.709367987e-12
2.016980220e-01,2.048759441e-09,8.708971452e-12
2.190504844e-01,2.042275227e-09,8.708573669e-12
2.378958120e-01,2.035799460e-09,8.708174631e-12
2.583624387e-01,2.029332313e-09,8.707774332e-12
2.805898480e-01,2.022873943e-09,8.707372767e-12
3.047295234e-01,2.016424494e-09,8.706969929e-12
3.309459808e-01,2.009984094e-09,8.706565811e-12
3.594178896e-01,2.003552860e-09,8.706160407e-12
3.903392905e-01,1.997130898e-09,8.705753712e-12
4.239209181e-01,1.990718303e-09,8.705345718e-12
4.603916366e-01,1.984315162e-09,8.704936420e-12
5.000000000e-01,1.977921553e-09,8.704525811e-12
