ell,C_ell_over_smooth
2,0.762943343
3,0.834911748
4,0.874175100
5,0.898211645
6,0.914476086
7,0.926224424
8,0.935111645
9,0.942070359
10,0.947666848
11,0.952265172
12,0.956110215
13,0.959372846
14,0.962175971
15,0.964610307
16,0.966744271
17,0.968630477
18,0.970310035
19,0.971815523
20,0.973173108
21,0.974404004
22,0.975525579
23,0.976552197
24,0.977495788
25,0.978366342
26,0.979172302
27,0.979920814
28,0.980617971
29,0.981269023
30,0.981878503
31,0.982450334
32,0.982987954
33,0.983494396
34,0.983972322
35,0.984424089
36,0.984851808
37,0.985257375
38,0.985642472
39,0.986008615
40,0.986357184
41,0.986689434
42,0.987006487
43,0.987309365
44,0.987599010
45,0.987876287
46,0.988141979
47,0.988396799
48,0.988641407
49,0.988876419
50,0.989102401
